Educational Use Only

Time (ModJDate)        x (m)           y (m)           z (m)        vx (m/sec)      vy (m/sec)      vz (m/sec)     ax (m/sec^2)    ay (m/sec^2)    az (m/sec^2)
 53736.50497685     5727293.187     2914842.265     1682657.848    -3770.429622     6191.303761     3573.017999       -7.795300       -3.967245       -2.297071
 53736.50509259     5689200.206     2976555.652     1718272.429    -3848.058052     6151.245201     3549.823840       -7.730200       -4.044307       -2.341668
 53736.50520833     5650334.215     3037864.616     1753652.847    -3925.029935     6110.420822     3526.186502       -7.663994       -4.120407       -2.385706
 53736.50532407     5610701.833     3098761.548     1788794.700    -4001.334328     6068.840311     3502.111608       -7.596706       -4.195531       -2.429178
 53736.50543981     5570309.789     3159238.935     1823693.640    -4076.960520     6026.513485     3477.604856       -7.528358       -4.269668       -2.472077
 53736.50555556     5529164.918     3219289.363     1858345.377    -4151.898040     5983.450279     3452.672010       -7.458975       -4.342806       -2.514395
 53736.50567130     5487274.158     3278905.519     1892745.679    -4226.136651     5939.660742     3427.318904       -7.388581       -4.414932       -2.556127
 53736.50578704     5444644.548     3338080.191     1926890.374    -4299.666360     5895.155038     3401.551436       -7.317199       -4.486037       -2.597267
 53736.50590278     5401283.226     3396806.267     1960775.347    -4372.477413     5849.943433     3375.375565       -7.244853       -4.556111       -2.637807
 53736.50601852     5357197.427     3455076.741     1994396.544    -4444.560300     5804.036295     3348.797306       -7.171569       -4.625143       -2.677743
 53736.50613426     5312394.478     3512884.709     2027749.972    -4515.905753     5757.444086     3321.822731       -7.097371       -4.693123       -2.717070
 53736.50625000     5266881.800     3570223.374     2060831.698    -4586.504750     5710.177360     3294.457965       -7.022282       -4.760044       -2.755781
 53736.50636574     5220666.901     3627086.044     2093637.851    -4656.348513     5662.246756     3266.709182       -6.946328       -4.825898       -2.793872
 53736.50648148     5173757.376     3683466.132     2126164.622    -4725.428512     5613.662992     3238.582601       -6.869533       -4.890675       -2.831340
 53736.50659722     5126160.904     3739357.162     2158408.264    -4793.736461     5564.436862     3210.084486       -6.791922       -4.954370       -2.868178
 53736.50671296     5077885.247     3794752.765     2190365.094    -4861.264321     5514.579232     3181.221141       -6.713520       -5.016974       -2.904385
 53736.50682870     5028938.244     3849646.678     2222031.491    -4928.004300     5464.101031     3151.998909       -6.634350       -5.078483       -2.939955
 53736.50694444     4979327.812     3904032.753     2253403.897    -4993.948854     5413.013249     3122.424166       -6.554439       -5.138889       -2.974886
 53736.50706019     4929061.943     3957904.948     2284478.821    -5059.090682     5361.326933     3092.503323       -6.473809       -5.198189       -3.009175
 53736.50717593     4878148.698     4011257.334     2315252.832    -5123.422733     5309.053180     3062.242816       -6.392487       -5.256376       -3.042818
 53736.50729167     4826596.210     4064084.091     2345722.566    -5186.938199     5256.203134     3031.649113       -6.310497       -5.313447       -3.075814
 53736.50740741     4774412.678     4116379.513     2375884.725    -5249.630519     5202.787978     3000.728702       -6.227862       -5.369397       -3.108160
 53736.50752315     4721606.364     4168138.004     2405736.073    -5311.493374     5148.818935     2969.488094       -6.144608       -5.424224       -3.139853
 53736.50763889     4668185.595     4219354.083     2435273.441    -5372.520692     5094.307259     2937.933818       -6.060758       -5.477924       -3.170893
 53736.50775463     4614158.755     4270022.378     2464493.726    -5432.706640     5039.264230     2906.072418       -5.976338       -5.530494       -3.201278
 53736.50787037     4559534.286     4320137.634     2493393.888    -5492.045629     4983.701154     2873.910454       -5.891371       -5.581933       -3.231006
 53736.50798611     4504320.684     4369694.706     2521970.955    -5550.532309     4927.629353     2841.454493       -5.805880       -5.632238       -3.260077
 53736.50810185     4448526.498     4418688.563     2550222.020    -5608.161569     4871.060167     2808.711113       -5.719891       -5.681410       -3.288490
 53736.50821759     4392160.327     4467114.289     2578144.241    -5664.928536     4814.004943     2775.686898       -5.633426       -5.729446       -3.316244
 53736.50833333     4335230.817     4514967.079     2605734.843    -5720.828572     4756.475034     2742.388433       -5.546508       -5.776346       -3.343339
