eiffeltwr	48.858	2.295	500	330.0
tokyotwr	35.659	139.745	500	634.0
spacendl	47.620	-122.349	500	160.0
ggbridge	37.820	-122.474	500 67.056
mtrushmore	43.880	-103.454	500	1745.0

pearlharbor 21.351  -157.980  10
barcelona 41.346  2.168 10
newzealand  -36.848  174.763  10
