41684	5.85068302226177E-007	6.64233528214553E-007	0.8084136	12
41685	5.76569518396327E-007	6.57882468992018E-007	0.8056121	12
41686	5.68070734566477E-007	6.51541106043105E-007	0.8027853	12
41687	5.59567102599815E-007	6.45219135641437E-007	0.7998687	12
41688	5.51053774359532E-007	6.38926254060635E-007	0.7968102	12
41689	5.42521053572004E-007	6.32681853847944E-007	0.793578	12
41690	5.33949547689987E-007	6.26495631276987E-007	0.7901668	12
41691	5.25324712303049E-007	6.20377282621384E-007	0.7866011	12
41692	5.16627154863944E-007	6.14341352291571E-007	0.7829347	12
41693	5.07842330962239E-007	6.0840723283479E-007	0.7792445	12
41694	4.98945999913879E-007	6.02589468661476E-007	0.7756176	12
41695	4.89943009855675E-007	5.96912300455683E-007	0.7721317	12
41696	4.80809120103571E-007	5.91385424491034E-007	0.7688336	12
41697	4.71524938110324E-007	0.000000586	0.7657193	12
41698	4.62075919465499E-007	5.80864967610957E-007	0.7627283	12
41699	4.52442671621852E-007	5.75900475516396E-007	0.7597566	12
41700	4.42615498305762E-007	5.71144453304711E-007	0.7566889	12
41701	4.32589551380417E-007	5.66592052839093E-007	0.7534399	12
41702	4.2237937525625E-007	5.62252970393162E-007	0.7499838	12
41703	0.000000412	5.58117509693298E-007	0.7463609	12
41704	4.01464513053185E-007	5.54200215149933E-007	0.7426579	12
41705	3.90818004616019E-007	5.50491390489445E-007	0.7389748	12
41706	3.80069685305821E-007	0.000000547	0.7353956	12
41707	3.69234099533023E-007	5.43689454543478E-007	0.7319736	12
41708	3.58320943571247E-007	5.40572102573944E-007	0.7287306	12
41709	3.47349609967738E-007	5.37629283529609E-007	0.7256628	12
41710	3.36339491269741E-007	5.3484645300004E-007	0.722746	12
41711	3.25319676298121E-007	5.32218762848427E-007	0.7199385	12
41712	3.14299861326501E-007	5.29741364937957E-007	0.7171829	12
41713	3.03309135175748E-007	5.27419107405442E-007	0.7144124	12
41714	2.92362042256295E-007	5.25256838387694E-007	0.7115586	12
41715	2.81458582568141E-007	5.23254557884711E-007	0.7085614	12
41716	2.70622996795343E-007	5.21417114033306E-007	0.7053789	12
41717	2.598552849379E-007	5.19744506833478E-007	0.7019963	12
41718	2.49174839543057E-007	5.1824643255885E-007	0.6984328	12
41719	2.38586508747625E-007	5.1692289120942E-007	0.6947431	12
41720	2.28095140688414E-007	5.15764186511569E-007	0.6910107	12
41721	2.17710431639048E-007	5.14780014738916E-007	0.6873306	12
41722	2.07432381599526E-007	0.000000514	0.6837869	12
41723	1.97256142433037E-007	5.13306181148343E-007	0.6804307	12
41724	1.8717686600277E-007	5.12806823056801E-007	0.6772644	12
41725	1.77189704171913E-007	5.12457757206402E-007	0.6742385	12
41726	1.67284960666845E-007	5.12249287323525E-007	0.6712625	12
41727	1.57448091077133E-007	5.12176565271358E-007	0.6682286	12
41728	1.47674247265965E-007	5.12239591049902E-007	0.6650424	12
41729	0.000000138	5.12433516522346E-007	0.6616529	12
41730	1.28315636979261E-007	5.12768037962312E-007	0.6580677	12
41731	1.18711477956481E-007	5.13243155369799E-007	0.6543493	12
41732	1.09136407754568E-007	5.13854020607997E-007	0.6505928	12
41733	9.95661856894654E-008	5.14605481813717E-007	0.6468953	12
41734	0.00000009	5.15482994576525E-007	0.6433316	12
41735	8.03724120543389E-008	5.16491407033233E-007	0.6399423	12
41736	7.0719771663448E-008	5.17635567320652E-007	0.6367352	12
41737	0.000000061	5.18920323575592E-007	0.6336919	12
41738	5.13078318718222E-008	5.20340827661243E-007	0.630774	12
41739	4.15485324710872E-008	5.21906775851227E-007	0.6279279	12
41740	3.17455998390524E-008	5.23608471871921E-007	0.6250891	12
41741	2.19087302493399E-008	5.25441067586515E-007	0.6221886	12
41742	0.000000012	5.27399714858198E-007	0.6191607	12
41743	2.10409137601539E-009	5.29474717413346E-007	0.6159523	12
41744	-7.86852604440777E-009	5.3166122711515E-007	0.6125322	12
41745	-1.78799285593197E-008	0.000000534	0.6089013	12
41746	-2.79155717582871E-008	5.36368767958724E-007	0.6050997	12
41747	-0.000000038	5.38899495374116E-007	0.6012058	12
41748	-0.000000048	5.41551426209785E-007	0.5973227	12
41749	-0.000000058	5.44339104876165E-007	0.5935523	12
41750	-0.000000068	5.47267379510066E-007	0.589965	12
41751	-7.78804697334359E-008	5.5033625011149E-007	0.5865779	12
41752	-8.76785542286596E-008	5.53555412954057E-007	0.5833499	12
41753	-9.73360427563616E-008	5.5692971617458E-007	0.580195	12
41754	-1.06828694632486E-007	5.60459159773057E-007	0.5770078	12
41755	-1.16122572899356E-007	5.64143743749489E-007	0.5736928	12
41756	-1.25203133146538E-007	0.000000568	0.5701889	12
41757	-1.34075223510842E-007	0.000000572	0.5664844	12
41758	-1.42753388402703E-007	5.76113793536084E-007	0.5626178	12
41759	-1.51261868506175E-007	5.80394698340281E-007	0.5586655	12
41760	-1.59615208231693E-007	5.84806502838378E-007	0.5547203	12
41761	-1.67832800126499E-007	5.89344358893563E-007	0.5508674	12
41762	-1.75924340464217E-007	0.000000594	0.547167	12
41763	-1.83889829244847E-007	5.98807921948821E-007	0.5436458	12
41764	-1.9173896274201E-007	6.03738477085705E-007	0.5402997	12
41765	-1.99471740955708E-007	6.08814476326922E-007	0.5370991	12
41766	-2.07102708296372E-007	0.000000614	0.5339971	12
41767	-2.14646409174436E-007	6.19412503395976E-007	0.5309355	12
41768	-2.22122236137145E-007	0.000000625	0.5278505	12
41769	-2.29544733594932E-007	6.30665028934529E-007	0.5246794	12
