MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
59185;2020;12;2;final;106.317;0.067;287.572;0.061;final;-178.7175;0.0117;-0.3630;0.0080;final;-111.521;0.181;-6.433;0.056;0.077;0.072;0.115;0.056
59186;2020;12;3;final;104.638;0.067;287.348;0.062;final;-178.3211;0.0117;-0.4220;0.0081;final;-111.206;0.184;-6.563;0.057;0.107;0.073;0.043;0.057
59187;2020;12;4;final;102.958;0.068;287.742;0.064;final;-177.9212;0.0117;-0.3645;0.0081;final;-110.846;0.184;-6.654;0.058;0.137;0.073;-0.029;0.058
59188;2020;12;5;final;101.346;0.068;288.801;0.066;final;-177.6326;0.0117;-0.1936;0.0082;final;-110.561;0.186;-6.662;0.059;0.148;0.074;-0.057;0.059
59189;2020;12;6;final;99.422;0.069;289.616;0.067;final;-177.5418;0.0117;-0.0216;0.0082;final;-110.303;0.186;-6.608;0.059;0.153;0.074;-0.069;0.059
59190;2020;12;7;final;97.392;0.069;289.604;0.069;final;-177.6428;0.0118;0.2074;0.0083;final;-110.036;0.189;-6.521;0.060;0.159;0.075;-0.080;0.060
59191;2020;12;8;final;95.366;0.069;289.667;0.070;final;-177.9633;0.0119;0.4263;0.0083;final;-109.822;0.191;-6.423;0.061;0.164;0.076;-0.092;0.061
59192;2020;12;9;final;93.289;0.070;289.586;0.071;final;-178.5100;0.0120;0.5628;0.0083;final;-109.770;0.191;-6.248;0.061;0.167;0.076;-0.056;0.061
59193;2020;12;10;final;91.596;0.070;289.267;0.071;final;-179.1348;0.0120;0.6352;0.0084;final;-109.962;0.194;-6.021;0.061;0.169;0.077;-0.008;0.061
59194;2020;12;11;final;90.377;0.071;289.317;0.072;final;-179.7372;0.0120;0.5418;0.0077;final;-110.382;0.196;-5.837;0.061;0.172;0.078;0.040;0.061
59195;2020;12;12;final;89.352;0.042;289.933;0.032;final;-180.1889;0.0121;0.3407;0.0073;final;-110.957;0.196;-5.849;0.061;0.135;0.078;0.054;0.061
