MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58151;2018;2;2;final;14.067;0.077;290.203;0.045;final;195.0891;0.0275;1.5264;0.0149;final;-103.684;0.349;-8.869;0.154;0.145;0.139;-0.261;0.154
58152;2018;2;3;final;12.458;0.080;291.691;0.046;final;193.5058;0.0281;1.6713;0.0152;final;-103.241;0.337;-9.003;0.149;0.129;0.134;-0.265;0.149
58153;2018;2;4;final;10.601;0.084;293.313;0.046;final;191.8259;0.0242;1.6883;0.0154;final;-103.223;0.309;-8.990;0.140;0.121;0.123;-0.265;0.140
58154;2018;2;5;final;8.260;0.090;295.375;0.052;final;190.1450;0.0261;1.6217;0.0161;final;-103.525;0.279;-8.781;0.131;0.113;0.111;-0.266;0.131
58155;2018;2;6;final;6.624;0.092;296.675;0.056;final;188.5544;0.0328;1.4783;0.0166;final;-103.869;0.251;-8.567;0.122;0.105;0.100;-0.267;0.122
58156;2018;2;7;final;6.188;0.083;297.813;0.050;final;187.1353;0.0259;1.3497;0.0153;final;-104.136;0.274;-8.552;0.128;0.091;0.109;-0.265;0.128
58157;2018;2;8;final;5.592;0.075;299.623;0.045;final;185.8941;0.0185;1.1840;0.0152;final;-104.405;0.309;-8.742;0.138;0.076;0.123;-0.264;0.138
58158;2018;2;9;final;4.664;0.072;301.372;0.045;final;184.7988;0.0235;0.9818;0.0154;final;-104.725;0.344;-8.982;0.149;0.060;0.137;-0.262;0.149
58159;2018;2;10;final;4.091;0.074;303.167;0.045;final;183.9243;0.0304;0.8318;0.0147;final;-104.835;0.329;-9.163;0.145;0.078;0.131;-0.274;0.145
58160;2018;2;11;final;3.494;0.075;305.155;0.045;final;183.1436;0.0258;0.7473;0.0140;final;-104.599;0.294;-9.279;0.135;0.108;0.117;-0.291;0.135
58161;2018;2;12;final;3.276;0.074;307.207;0.045;final;182.3852;0.0213;0.7322;0.0143;final;-104.107;0.256;-9.378;0.125;0.138;0.102;-0.309;0.125
58162;2018;2;13;final;2.984;0.071;309.331;0.044;final;181.6261;0.0197;0.7615;0.0148;final;-103.601;0.221;-9.461;0.116;0.169;0.088;-0.326;0.116
58163;2018;2;14;final;2.565;0.070;311.263;0.044;final;180.8522;0.0189;0.7852;0.0145;final;-103.310;0.226;-9.465;0.111;0.172;0.090;-0.319;0.111
58164;2018;2;15;final;1.884;0.074;313.278;0.045;final;180.0326;0.0185;0.8537;0.0155;final;-103.148;0.241;-9.392;0.108;0.168;0.096;-0.306;0.108
58165;2018;2;16;final;1.348;0.070;315.040;0.045;final;179.1391;0.0189;0.9340;0.0156;final;-103.040;0.256;-9.293;0.105;0.164;0.102;-0.293;0.105
58166;2018;2;17;final;1.023;0.072;316.434;0.045;final;178.1970;0.0211;1.0498;0.0157;final;-103.026;0.264;-9.243;0.110;0.161;0.105;-0.291;0.110
58167;2018;2;18;final;0.643;0.078;317.986;0.046;final;177.1533;0.0192;1.1086;0.0166;final;-103.153;0.269;-9.271;0.119;0.158;0.107;-0.293;0.119
58168;2018;2;19;final;0.907;0.081;319.569;0.046;final;175.9989;0.0245;1.1378;0.0167;final;-103.341;0.274;-9.370;0.128;0.156;0.109;-0.295;0.128
58169;2018;2;20;final;1.162;0.080;321.719;0.050;final;174.7971;0.0345;1.1246;0.0163;final;-103.464;0.277;-9.508;0.137;0.154;0.110;-0.297;0.137
58170;2018;2;21;final;2.029;0.077;324.307;0.054;final;173.6556;0.0326;1.1258;0.0151;final;-103.503;0.299;-9.627;0.139;0.147;0.119;-0.295;0.139
58171;2018;2;22;final;2.404;0.074;327.028;0.049;final;172.5733;0.0280;1.0527;0.0145;final;-103.528;0.324;-9.685;0.139;0.140;0.129;-0.292;0.139
58172;2018;2;23;final;2.541;0.068;329.197;0.048;final;171.5338;0.0249;0.9603;0.0146;final;-103.626;0.349;-9.684;0.139;0.133;0.139;-0.290;0.139
58173;2018;2;24;final;2.347;0.072;331.740;0.049;final;170.6442;0.0247;0.8632;0.0155;final;-103.818;0.327;-9.684;0.129;0.128;0.130;-0.276;0.129
58174;2018;2;25;final;1.947;0.079;333.859;0.046;final;169.8219;0.0241;0.7973;0.0157;final;-104.062;0.289;-9.775;0.114;0.125;0.115;-0.258;0.114
58175;2018;2;26;final;1.247;0.079;336.071;0.046;final;169.0306;0.0227;0.7700;0.0150;final;-104.252;0.251;-9.950;0.100;0.122;0.100;-0.240;0.100
58176;2018;2;27;final;0.267;0.072;337.963;0.044;final;168.2351;0.0214;0.8268;0.0145;final;-104.254;0.214;-10.085;0.086;0.119;0.085;-0.221;0.086
58177;2018;2;28;final;-0.517;0.070;339.627;0.044;final;167.4081;0.0256;0.9313;0.0145;final;-103.954;0.264;-10.101;0.102;0.137;0.105;-0.197;0.102
58178;2018;3;1;final;-0.327;0.075;341.442;0.045;final;166.4612;0.0313;1.0284;0.0152;final;-103.462;0.342;-10.085;0.127;0.162;0.136;-0.172;0.127
58179;2018;3;2;prediction;1.120;0.074;343.723;0.045;prediction;165.3367;0.0344;;;prediction;;;;;0.186;0.166;-0.146;0.151
58180;2018;3;3;prediction;2.713;0.075;346.315;0.046;prediction;164.0375;0.0315;;;prediction;;;;;0.210;0.196;-0.121;0.176
58181;2018;3;4;prediction;3.975;0.083;349.022;0.051;prediction;162.8156;0.0306;;;prediction;;;;;0.234;0.226;-0.095;0.200
58182;2018;3;5;prediction;5.329;0.080;351.678;0.050;prediction;161.6044;0.0374;;;prediction;;;;;0.258;0.257;-0.069;0.225
58183;2018;3;6;prediction;6.530;0.070;354.274;0.043;prediction;160.4862;0.0511;;;prediction;;;;;0.283;0.287;-0.044;0.249
58184;2018;3;7;prediction;7.274;0.068;356.686;0.044;prediction;159.5098;0.0373;;;prediction;;;;;0.227;0.256;-0.086;0.225
58185;2018;3;8;prediction;7.639;0.064;358.793;0.043;prediction;158.6416;0.0209;;;prediction;;;;;0.151;0.208;-0.145;0.188
58186;2018;3;9;prediction;7.943;0.059;360.393;0.042;prediction;157.8278;0.0222;;;prediction;;;;;0.074;0.161;-0.205;0.150
58187;2018;3;10;prediction;8.374;0.068;361.629;0.043;prediction;157.1201;0.0181;;;prediction;;;;;0.035;0.166;-0.214;0.170
58188;2018;3;11;prediction;9.615;0.078;362.554;0.045;prediction;156.4091;0.0199;;;prediction;;;;;0.009;0.191;-0.203;0.211
58189;2018;3;12;prediction;11.423;0.081;363.969;0.045;prediction;155.6918;0.0418;;;prediction;;;;;-0.017;0.216;-0.192;0.251
58190;2018;3;13;prediction;12.950;0.076;365.538;0.044;prediction;154.9501;0.0718;;;prediction;;;;;-0.042;0.241;-0.181;0.292
58191;2018;3;14;prediction;13.945;0.071;367.366;0.044;prediction;154.1413;0.0697;;;prediction;;;;;0.000;0.168;0.000;0.175
58192;2018;3;15;prediction;14.551;0.039;369.270;0.027;prediction;153.2509;0.0591;;;prediction;;;;;0.000;0.111;0.000;0.114
58193;2018;3;16;prediction;14.811;0.042;371.254;0.027;prediction;152.2658;0.0473;;;prediction;;;;;0.000;0.111;0.000;0.114
58194;2018;3;17;prediction;14.930;0.047;373.047;0.023;prediction;151.1731;0.0311;;;prediction;;;;;0.000;0.111;0.000;0.114
58195;2018;3;18;prediction;14.957;0.052;374.494;0.027;prediction;150.0544;0.0257;;;prediction;;;;;0.000;0.111;0.000;0.114
58196;2018;3;19;prediction;15.601;0.048;375.874;0.034;prediction;148.8536;0.0169;;;prediction;;;;;0.000;0.111;0.000;0.114
58197;2018;3;20;prediction;16.849;0.045;377.479;0.035;prediction;147.5881;0.0137;;;prediction;;;;;0.000;0.111;0.000;0.114
58198;2018;3;21;prediction;17.760;0.048;378.805;0.035;prediction;146.3272;0.0212;;;prediction;;;;;0.000;0.111;0.000;0.114
58199;2018;3;22;prediction;19.233;0.050;379.683;0.037;prediction;145.1277;0.0398;;;prediction;;;;;0.000;0.111;0.000;0.114
58200;2018;3;23;prediction;20.909;0.053;380.991;0.038;prediction;144.0474;0.0483;;;prediction;;;;;0.000;0.111;0.000;0.114
58201;2018;3;24;prediction;22.248;0.047;382.587;0.032;prediction;143.1075;0.0308;;;prediction;;;;;0.000;0.111;0.000;0.114
58202;2018;3;25;prediction;23.435;0.049;384.210;0.032;prediction;142.2336;0.0398;;;prediction;;;;;0.000;0.111;0.000;0.114
58203;2018;3;26;prediction;24.423;0.051;385.506;0.033;prediction;141.3604;0.0193;;;prediction;;;;;0.000;0.111;0.000;0.114
58204;2018;3;27;prediction;25.715;0.047;386.412;0.029;prediction;140.4162;0.0121;;;prediction;;;;;0.000;0.111;0.000;0.114
58205;2018;3;28;prediction;26.988;0.046;387.411;0.027;prediction;139.3524;0.0186;;;prediction;;;;;0.000;0.111;0.000;0.114
58206;2018;3;29;prediction;28.183;0.053;388.977;0.031;prediction;138.1625;0.0264;;;prediction;;;;;0.000;0.111;0.000;0.114
58207;2018;3;30;prediction;29.456;0.048;390.763;0.036;prediction;136.8889;0.0377;;;prediction;;;;;0.000;0.111;0.000;0.114
58208;2018;3;31;prediction;31.068;0.038;392.610;0.034;prediction;135.4217;0.0676;;;prediction;;;;;0.000;0.111;0.000;0.114
58209;2018;4;1;prediction;32.298;0.049;394.538;0.034;prediction;134.0021;0.0617;;;prediction;;;;;0.000;0.111;0.000;0.114
