MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58728;2019;9;2;final;214.229;0.042;349.770;0.028;final;-154.2362;0.0063;0.6158;0.0095;final;-117.894;0.085;-10.650;0.027;-0.195;0.034;0.061;0.027
58729;2019;9;3;final;213.821;0.042;348.481;0.028;final;-154.8126;0.0063;0.5143;0.0095;final;-118.327;0.128;-10.654;0.027;-0.220;0.051;0.068;0.027
58730;2019;9;4;final;213.451;0.042;346.759;0.029;final;-155.2653;0.0064;0.3387;0.0095;final;-118.569;0.128;-10.512;0.027;-0.236;0.051;0.142;0.027
58731;2019;9;5;final;213.287;0.042;345.150;0.029;final;-155.5174;0.0064;0.1664;0.0095;final;-118.452;0.131;-10.598;0.028;-0.216;0.052;0.113;0.028
58732;2019;9;6;final;213.284;0.042;343.292;0.029;final;-155.5427;0.0064;-0.0562;0.0095;final;-118.131;0.131;-10.923;0.028;-0.185;0.052;0.049;0.028
58733;2019;9;7;final;213.605;0.042;341.584;0.029;final;-155.3511;0.0065;-0.2258;0.0095;final;-117.909;0.090;-11.238;0.028;-0.155;0.036;0.023;0.028
58734;2019;9;8;final;213.748;0.042;340.214;0.029;final;-155.1104;0.0065;-0.3264;0.0095;final;-117.937;0.090;-11.370;0.027;-0.129;0.036;0.009;0.027
58735;2019;9;9;final;213.582;0.042;338.873;0.028;final;-154.7174;0.0065;-0.3835;0.0094;final;-118.032;0.093;-11.329;0.027;-0.103;0.037;-0.004;0.027
58736;2019;9;10;final;212.916;0.042;337.633;0.028;final;-154.3020;0.0065;-0.3792;0.0094;final;-117.937;0.093;-11.245;0.027;-0.077;0.037;-0.017;0.027
58737;2019;9;11;final;211.643;0.042;336.271;0.028;final;-153.9400;0.0066;-0.3457;0.0093;final;-117.730;0.096;-11.124;0.027;-0.095;0.038;0.016;0.027
58738;2019;9;12;final;210.279;0.042;334.464;0.028;final;-153.5993;0.0066;-0.3023;0.0094;final;-117.510;0.096;-10.926;0.027;-0.124;0.038;0.060;0.027
58739;2019;9;13;final;209.357;0.042;332.511;0.028;final;-153.3809;0.0065;-0.1592;0.0093;final;-117.403;0.093;-10.612;0.027;-0.154;0.037;0.104;0.027
58740;2019;9;14;final;208.780;0.042;330.745;0.028;final;-153.2910;0.0066;-0.0117;0.0092;final;-117.292;0.093;-10.327;0.026;-0.139;0.037;0.100;0.026
58741;2019;9;15;final;208.414;0.042;329.530;0.028;final;-153.3171;0.0066;0.0314;0.0092;final;-117.159;0.093;-10.194;0.026;-0.108;0.037;0.077;0.026
58742;2019;9;16;final;207.861;0.042;328.404;0.028;final;-153.3320;0.0066;-0.0025;0.0092;final;-116.963;0.093;-10.221;0.026;-0.077;0.037;0.054;0.026
58743;2019;9;17;final;207.375;0.042;326.891;0.028;final;-153.3303;0.0066;-0.0354;0.0092;final;-116.701;0.093;-10.274;0.027;-0.047;0.037;0.056;0.027
58744;2019;9;18;final;206.919;0.042;325.493;0.028;final;-153.2853;0.0066;-0.0746;0.0092;final;-116.513;0.096;-10.288;0.028;-0.033;0.038;0.063;0.028
58745;2019;9;19;final;206.058;0.042;324.124;0.028;final;-153.1654;0.0067;-0.1887;0.0092;final;-116.548;0.098;-10.302;0.029;-0.024;0.039;0.076;0.029
58746;2019;9;20;final;204.867;0.042;323.038;0.028;final;-152.9207;0.0067;-0.3054;0.0092;final;-116.863;0.098;-10.404;0.029;-0.015;0.039;0.089;0.029
58747;2019;9;21;final;203.740;0.042;321.672;0.028;final;-152.5495;0.0067;-0.4187;0.0091;final;-117.274;0.098;-10.571;0.031;-0.010;0.039;0.100;0.031
58748;2019;9;22;final;202.952;0.042;320.373;0.028;final;-152.1046;0.0068;-0.4659;0.0090;final;-117.496;0.098;-10.675;0.031;-0.023;0.039;0.107;0.031
58749;2019;9;23;final;202.247;0.041;319.367;0.028;final;-151.6530;0.0068;-0.4642;0.0090;final;-117.349;0.096;-10.636;0.032;-0.029;0.038;0.115;0.032
58750;2019;9;24;final;201.645;0.041;318.571;0.028;final;-151.2166;0.0068;-0.3760;0.0090;final;-117.007;0.098;-10.500;0.030;-0.035;0.039;0.123;0.030
58751;2019;9;25;final;201.081;0.041;317.719;0.028;final;-150.8992;0.0069;-0.1448;0.0090;final;-116.553;0.098;-10.327;0.030;0.000;0.039;0.112;0.030
58752;2019;9;26;final;200.117;0.041;317.175;0.028;final;-150.8833;0.0069;0.1342;0.0090;final;-116.152;0.101;-10.056;0.030;0.046;0.040;0.096;0.030
58753;2019;9;27;final;199.438;0.042;316.242;0.028;final;-151.2096;0.0069;0.4442;0.0090;final;-115.917;0.101;-9.696;0.030;0.091;0.040;0.080;0.030
58754;2019;9;28;final;199.098;0.042;315.587;0.028;final;-151.8123;0.0070;0.6651;0.0090;final;-116.093;0.103;-9.437;0.031;0.060;0.041;0.088;0.031
58755;2019;9;29;final;198.877;0.042;314.648;0.028;final;-152.5147;0.0070;0.7296;0.0090;final;-116.456;0.103;-9.483;0.032;0.002;0.041;0.104;0.032
58756;2019;9;30;final;198.843;0.042;313.481;0.028;final;-153.2050;0.0071;0.6466;0.0090;final;-116.762;0.106;-9.713;0.033;-0.057;0.042;0.121;0.033
58757;2019;10;1;final;198.420;0.042;312.164;0.028;final;-153.7486;0.0072;0.3940;0.0090;final;-116.972;0.106;-9.816;0.033;-0.116;0.042;0.138;0.033
58758;2019;10;2;prediction;197.555;0.042;311.074;0.028;prediction;-153.9883;0.0072;;;prediction;;;;;-0.091;0.043;0.125;0.034
58759;2019;10;3;prediction;196.516;0.042;309.985;0.028;prediction;-153.9123;0.0073;;;prediction;;;;;-0.072;0.043;0.119;0.035
58760;2019;10;4;prediction;195.491;0.042;308.761;0.028;prediction;-153.6859;0.0074;;;prediction;;;;;-0.063;0.044;0.120;0.035
58761;2019;10;5;prediction;194.662;0.042;307.564;0.028;prediction;-153.2978;0.0075;;;prediction;;;;;-0.054;0.044;0.120;0.036
58762;2019;10;6;prediction;193.598;0.042;306.199;0.028;prediction;-152.8333;0.0075;;;prediction;;;;;-0.045;0.045;0.120;0.036
58763;2019;10;7;prediction;192.701;0.043;304.904;0.028;prediction;-152.3685;0.0075;;;prediction;;;;;-0.036;0.045;0.120;0.037
58764;2019;10;8;prediction;191.613;0.043;303.615;0.029;prediction;-151.9644;0.0076;;;prediction;;;;;-0.027;0.046;0.121;0.038
58765;2019;10;9;prediction;190.552;0.043;301.918;0.029;prediction;-151.6532;0.0076;;;prediction;;;;;-0.017;0.046;0.121;0.038
58766;2019;10;10;prediction;189.429;0.043;300.750;0.029;prediction;-151.4464;0.0076;;;prediction;;;;;-0.046;0.047;0.154;0.039
58767;2019;10;11;prediction;188.644;0.044;299.643;0.029;prediction;-151.3805;0.0076;;;prediction;;;;;-0.084;0.047;0.197;0.039
58768;2019;10;12;prediction;187.836;0.044;299.412;0.029;prediction;-151.4617;0.0077;;;prediction;;;;;-0.060;0.048;0.184;0.040
58769;2019;10;13;prediction;186.272;0.044;299.233;0.029;prediction;-151.6517;0.0078;;;prediction;;;;;-0.012;0.049;0.151;0.041
58770;2019;10;14;prediction;184.357;0.045;298.584;0.030;prediction;-151.9119;0.0079;;;prediction;;;;;0.035;0.050;0.118;0.042
58771;2019;10;15;prediction;182.689;0.045;297.732;0.030;prediction;-152.2345;0.0080;;;prediction;;;;;0.083;0.050;0.085;0.043
58772;2019;10;16;prediction;181.434;0.046;297.220;0.030;prediction;-152.5643;0.0081;;;prediction;;;;;0.077;0.051;0.108;0.045
58773;2019;10;17;prediction;179.953;0.047;296.625;0.031;prediction;-152.8796;0.0082;;;prediction;;;;;0.057;0.052;0.147;0.046
58774;2019;10;18;prediction;178.247;0.047;295.698;0.031;prediction;-153.1443;0.0082;;;prediction;;;;;0.038;0.053;0.185;0.048
58775;2019;10;19;prediction;176.784;0.048;294.464;0.032;prediction;-153.3266;0.0084;;;prediction;;;;;0.027;0.054;0.189;0.050
58776;2019;10;20;prediction;175.203;0.049;293.513;0.032;prediction;-153.4305;0.0085;;;prediction;;;;;0.019;0.055;0.179;0.053
58777;2019;10;21;prediction;173.611;0.050;292.334;0.033;prediction;-153.5058;0.0086;;;prediction;;;;;0.011;0.056;0.169;0.056
58778;2019;10;22;prediction;172.403;0.051;291.339;0.033;prediction;-153.6141;0.0087;;;prediction;;;;;0.004;0.057;0.159;0.059
58779;2019;10;23;prediction;171.346;0.051;290.360;0.034;prediction;-153.8244;0.0088;;;prediction;;;;;0.056;0.500;0.128;0.500
58780;2019;10;24;prediction;170.098;0.052;290.025;0.034;prediction;-154.2362;0.0090;;;prediction;;;;;0.067;0.500;0.118;0.500
58781;2019;10;25;prediction;168.782;0.053;289.121;0.035;prediction;-154.9020;0.0091;;;prediction;;;;;0.068;0.500;0.114;0.500
58782;2019;10;26;prediction;167.801;0.053;287.906;0.035;prediction;-155.8035;0.0093;;;prediction;;;;;0.058;0.500;0.117;0.500
58783;2019;10;27;prediction;167.254;0.054;286.492;0.036;prediction;-156.8108;0.0095;;;prediction;;;;;0.040;0.500;0.127;0.500
58784;2019;10;28;prediction;167.102;0.055;285.582;0.036;prediction;-157.7392;0.0096;;;prediction;;;;;0.023;0.500;0.141;0.500
58785;2019;10;29;prediction;166.888;0.055;284.317;0.037;prediction;-158.4665;0.0098;;;prediction;;;;;0.014;0.500;0.157;0.500
58786;2019;10;30;prediction;166.968;0.056;283.146;0.037;prediction;-158.9229;0.0100;;;prediction;;;;;0.016;0.500;0.170;0.500
58787;2019;10;31;prediction;166.606;0.057;282.068;0.038;prediction;-159.1325;0.0103;;;prediction;;;;;0.028;0.500;0.177;0.500
