MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58363;2018;9;2;final;211.577;0.054;366.188;0.039;final;62.9373;0.0161;0.2587;0.0126;final;-115.380;0.194;-11.500;0.085;0.000;0.077;0.000;0.085
58364;2018;9;3;final;211.673;0.055;364.479;0.039;final;62.6958;0.0164;0.1541;0.0127;final;-115.683;0.194;-11.577;0.085;0.000;0.077;0.000;0.085
58365;2018;9;4;final;211.634;0.055;363.167;0.040;final;62.5466;0.0166;0.1077;0.0128;final;-115.850;0.196;-11.678;0.086;0.000;0.078;0.000;0.086
58366;2018;9;5;final;211.640;0.055;361.805;0.040;final;62.4566;0.0168;0.1020;0.0128;final;-115.803;0.196;-11.784;0.086;0.000;0.078;0.000;0.086
58367;2018;9;6;final;212.048;0.054;360.904;0.039;final;62.3539;0.0171;0.1653;0.0125;final;-115.588;0.196;-11.812;0.087;0.000;0.078;0.000;0.087
58368;2018;9;7;final;212.541;0.055;360.446;0.039;final;62.1444;0.0169;0.2882;0.0125;final;-115.325;0.194;-11.653;0.086;0.000;0.077;0.000;0.086
58369;2018;9;8;final;212.705;0.055;359.876;0.039;final;61.7468;0.0171;0.4833;0.0126;final;-115.136;0.194;-11.336;0.086;0.000;0.077;0.000;0.086
58370;2018;9;9;final;212.593;0.055;359.172;0.039;final;61.1191;0.0174;0.7147;0.0126;final;-115.055;0.196;-11.073;0.086;0.000;0.078;0.000;0.086
58371;2018;9;10;final;212.953;0.054;358.347;0.039;final;60.2848;0.0176;0.9400;0.0123;final;-115.045;0.196;-11.042;0.086;0.000;0.078;0.000;0.086
58372;2018;9;11;final;213.677;0.054;357.568;0.039;final;59.3277;0.0179;0.9847;0.0124;final;-115.105;0.196;-11.158;0.087;0.000;0.078;0.000;0.087
58373;2018;9;12;final;214.091;0.054;356.765;0.039;final;58.3628;0.0181;0.9403;0.0124;final;-115.298;0.196;-11.178;0.087;0.000;0.078;0.000;0.087
58374;2018;9;13;final;213.972;0.054;355.925;0.039;final;57.4989;0.0180;0.7586;0.0124;final;-115.584;0.199;-11.034;0.087;0.000;0.079;0.000;0.087
58375;2018;9;14;final;213.400;0.054;355.115;0.039;final;56.8148;0.0169;0.5625;0.0125;final;-115.744;0.196;-10.825;0.092;0.002;0.078;0.100;0.092
58376;2018;9;15;final;212.829;0.054;354.057;0.039;final;56.3452;0.0172;0.3670;0.0125;final;-115.605;0.194;-10.942;0.095;0.011;0.077;0.112;0.095
58377;2018;9;16;final;212.199;0.053;352.900;0.039;final;56.0732;0.0173;0.2203;0.0122;final;-115.286;0.196;-11.249;0.094;0.023;0.078;0.129;0.094
58378;2018;9;17;final;211.977;0.053;351.630;0.039;final;55.9463;0.0175;0.1201;0.0123;final;-115.028;0.196;-11.515;0.094;0.034;0.078;0.146;0.094
58379;2018;9;18;final;212.054;0.053;350.327;0.039;final;55.8999;0.0177;0.0571;0.0123;final;-114.902;0.199;-11.572;0.093;0.045;0.079;0.163;0.093
58380;2018;9;19;final;212.096;0.053;348.780;0.039;final;55.8641;0.0179;0.0390;0.0123;final;-114.811;0.199;-11.461;0.092;0.057;0.079;0.180;0.092
58381;2018;9;20;final;211.925;0.053;347.173;0.039;final;55.7702;0.0167;0.0949;0.0124;final;-114.695;0.153;-11.331;0.077;0.068;0.061;0.197;0.077
58382;2018;9;21;final;211.828;0.052;345.665;0.039;final;55.6126;0.0130;0.2158;0.0124;final;-114.612;0.141;-11.240;0.059;0.068;0.056;0.232;0.059
58383;2018;9;22;final;211.821;0.052;344.294;0.039;final;55.3212;0.0132;0.3614;0.0125;final;-114.605;0.141;-11.187;0.059;0.044;0.056;0.228;0.059
58384;2018;9;23;final;211.590;0.052;342.637;0.039;final;54.8602;0.0134;0.5122;0.0126;final;-114.632;0.143;-11.029;0.059;-0.009;0.057;0.240;0.059
58385;2018;9;24;final;211.867;0.052;340.891;0.039;final;54.2539;0.0137;0.6741;0.0126;final;-114.602;0.143;-10.779;0.059;-0.061;0.057;0.252;0.059
58386;2018;9;25;final;211.964;0.052;339.309;0.040;final;53.5184;0.0139;0.8144;0.0127;final;-114.618;0.146;-10.537;0.059;-0.114;0.058;0.264;0.059
