MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58789;2019;11;2;final;165.338;0.040;280.270;0.026;final;-159.1866;0.0053;-0.0229;0.0080;final;-113.263;0.080;-8.600;0.024;0.070;0.032;0.221;0.024
58790;2019;11;3;final;164.712;0.040;279.387;0.026;final;-159.1777;0.0053;0.0031;0.0079;final;-113.024;0.080;-8.667;0.024;0.101;0.032;0.227;0.024
58791;2019;11;4;final;163.921;0.040;278.764;0.026;final;-159.1947;0.0053;0.0618;0.0078;final;-112.871;0.080;-8.510;0.024;0.132;0.032;0.233;0.024
58792;2019;11;5;final;163.092;0.040;278.229;0.026;final;-159.2855;0.0052;0.1031;0.0079;final;-112.737;0.103;-8.234;0.024;0.153;0.041;0.239;0.024
58793;2019;11;6;final;162.362;0.040;277.999;0.026;final;-159.4469;0.0052;0.2318;0.0079;final;-112.604;0.103;-8.070;0.024;0.149;0.041;0.210;0.024
58794;2019;11;7;final;161.420;0.040;277.887;0.026;final;-159.7681;0.0051;0.3988;0.0079;final;-112.509;0.116;-8.053;0.023;0.129;0.046;0.172;0.023
58795;2019;11;8;final;160.475;0.039;277.218;0.026;final;-160.2407;0.0051;0.5640;0.0078;final;-112.464;0.116;-8.054;0.023;0.113;0.046;0.134;0.023
58796;2019;11;9;final;159.241;0.039;276.588;0.026;final;-160.8634;0.0051;0.6676;0.0078;final;-112.442;0.133;-7.907;0.023;0.099;0.053;0.127;0.023
58797;2019;11;10;final;157.895;0.039;275.927;0.026;final;-161.5582;0.0051;0.7108;0.0078;final;-112.425;0.113;-7.639;0.023;0.078;0.045;0.132;0.023
58798;2019;11;11;final;156.727;0.039;275.260;0.026;final;-162.2553;0.0051;0.6808;0.0078;final;-112.440;0.113;-7.409;0.023;0.057;0.045;0.129;0.023
58799;2019;11;12;final;155.603;0.039;274.984;0.026;final;-162.9060;0.0051;0.6010;0.0078;final;-112.532;0.116;-7.334;0.023;0.039;0.046;0.132;0.023
58800;2019;11;13;final;154.311;0.039;275.077;0.026;final;-163.4446;0.0051;0.4930;0.0077;final;-112.617;0.118;-7.403;0.023;0.033;0.047;0.163;0.023
58801;2019;11;14;final;153.088;0.039;274.971;0.026;final;-163.9065;0.0050;0.3636;0.0077;final;-112.580;0.116;-7.530;0.022;0.030;0.046;0.204;0.022
58802;2019;11;15;final;152.205;0.039;275.025;0.026;final;-164.1833;0.0050;0.2698;0.0078;final;-112.406;0.118;-7.609;0.022;0.025;0.047;0.242;0.022
58803;2019;11;16;final;150.276;0.039;275.129;0.026;final;-164.4130;0.0050;0.1729;0.0078;final;-112.208;0.098;-7.638;0.022;0.022;0.039;0.233;0.022
58804;2019;11;17;final;147.608;0.055;274.524;0.038;final;-164.4598;0.0058;0.0225;0.0120;final;-112.006;0.131;-7.626;0.037;0.050;0.052;0.201;0.037
58805;2019;11;18;final;145.277;0.054;273.676;0.038;final;-164.5157;0.0059;0.0723;0.0117;final;-111.849;0.131;-7.605;0.037;0.060;0.052;0.166;0.037
58806;2019;11;19;final;143.300;0.054;273.119;0.038;final;-164.6587;0.0060;0.2219;0.0117;final;-111.550;0.133;-7.571;0.038;0.070;0.053;0.130;0.038
58807;2019;11;20;final;141.560;0.054;272.384;0.038;final;-165.0096;0.0061;0.4549;0.0118;final;-111.061;0.136;-7.425;0.038;0.106;0.054;0.136;0.038
58808;2019;11;21;final;139.742;0.054;271.778;0.038;final;-165.5837;0.0062;0.6919;0.0118;final;-110.649;0.136;-7.163;0.039;0.150;0.054;0.152;0.039
58809;2019;11;22;final;137.909;0.054;270.972;0.038;final;-166.3471;0.0063;0.8474;0.0119;final;-110.573;0.138;-6.868;0.040;0.195;0.055;0.169;0.040
58810;2019;11;23;final;135.882;0.054;270.504;0.038;final;-167.2096;0.0064;0.9011;0.0119;final;-111.033;0.141;-6.711;0.041;0.167;0.056;0.185;0.041
58811;2019;11;24;final;133.667;0.054;270.051;0.038;final;-168.0878;0.0065;0.8678;0.0119;final;-111.661;0.141;-6.810;0.041;0.113;0.056;0.202;0.041
58812;2019;11;25;final;131.857;0.054;269.490;0.038;final;-168.8571;0.0066;0.6997;0.0120;final;-112.075;0.143;-7.083;0.041;0.059;0.057;0.218;0.041
58813;2019;11;26;final;130.099;0.054;269.088;0.038;final;-169.4622;0.0067;0.4411;0.0120;final;-112.159;0.143;-7.295;0.042;0.005;0.057;0.235;0.042
58814;2019;11;27;final;128.685;0.054;269.058;0.039;final;-170.1032;0.0068;0.2132;0.0121;final;-111.869;0.148;-7.321;0.044;0.017;0.059;0.223;0.044
58815;2019;11;28;final;127.277;0.054;269.392;0.039;final;-170.3945;0.0070;0.1093;0.0122;final;-111.507;0.151;-7.210;0.046;0.046;0.060;0.203;0.046
