MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
57875;2017;5;2;final;39.396;0.062;432.894;0.047;final;420.3762;0.0374;1.3948;0.0139;final;-98.346;0.098;-12.940;0.036;-0.063;0.039;0.284;0.036
57876;2017;5;3;final;40.562;0.062;434.229;0.047;final;418.9839;0.0376;1.3856;0.0139;final;-98.648;0.101;-12.985;0.036;-0.196;0.040;0.184;0.036
57877;2017;5;4;final;41.579;0.061;435.180;0.046;final;417.5685;0.0375;1.4295;0.0136;final;-98.651;0.098;-13.021;0.036;-0.175;0.039;0.126;0.036
57878;2017;5;5;final;43.197;0.061;436.535;0.047;final;416.1024;0.0378;1.5368;0.0136;final;-98.416;0.098;-13.082;0.036;-0.104;0.039;0.088;0.036
57879;2017;5;6;final;45.146;0.061;437.886;0.047;final;414.5671;0.0383;1.6342;0.0137;final;-98.158;0.101;-13.129;0.037;-0.083;0.040;0.092;0.037
57880;2017;5;7;final;47.702;0.060;438.996;0.046;final;413.0031;0.0368;1.6288;0.0134;final;-97.974;0.096;-13.102;0.034;-0.081;0.038;0.112;0.034
57881;2017;5;8;final;50.060;0.060;440.489;0.046;final;411.4436;0.0377;1.4996;0.0134;final;-97.985;0.096;-12.945;0.034;-0.079;0.038;0.132;0.034
57882;2017;5;9;final;51.964;0.060;441.781;0.046;final;409.9435;0.0382;1.3819;0.0135;final;-98.181;0.096;-12.704;0.035;-0.077;0.038;0.152;0.035
57883;2017;5;10;final;53.992;0.060;443.116;0.046;final;408.5423;0.0387;1.3301;0.0135;final;-98.409;0.098;-12.517;0.035;-0.063;0.039;0.184;0.035
57884;2017;5;11;final;56.190;0.060;444.385;0.047;final;407.2617;0.0392;1.2507;0.0135;final;-98.582;0.098;-12.492;0.036;-0.047;0.039;0.220;0.036
57885;2017;5;12;final;58.581;0.060;445.923;0.047;final;406.0965;0.0402;1.1399;0.0135;final;-98.654;0.101;-12.591;0.037;-0.030;0.040;0.257;0.037
57886;2017;5;13;final;60.693;0.061;447.303;0.047;final;405.0128;0.0406;1.0672;0.0136;final;-98.766;0.101;-12.723;0.039;-0.059;0.040;0.277;0.039
57887;2017;5;14;final;62.925;0.059;448.430;0.046;final;403.9890;0.0408;1.0199;0.0133;final;-98.939;0.103;-12.839;0.039;-0.106;0.041;0.292;0.039
57888;2017;5;15;final;64.752;0.059;449.373;0.046;final;403.0039;0.0410;0.9734;0.0134;final;-99.200;0.103;-12.973;0.039;-0.152;0.041;0.307;0.039
57889;2017;5;16;final;66.766;0.059;449.803;0.046;final;401.9999;0.0413;1.0324;0.0134;final;-99.460;0.103;-13.115;0.039;-0.198;0.041;0.322;0.039
57890;2017;5;17;final;68.687;0.059;450.265;0.047;final;400.9318;0.0416;1.1103;0.0134;final;-99.344;0.103;-13.213;0.039;-0.193;0.041;0.284;0.039
57891;2017;5;18;final;70.544;0.059;450.672;0.047;final;399.7862;0.0397;1.1757;0.0135;final;-98.886;0.101;-13.127;0.037;-0.187;0.040;0.246;0.037
57892;2017;5;19;final;72.542;0.060;451.766;0.047;final;398.5681;0.0401;1.2459;0.0135;final;-98.400;0.101;-12.931;0.037;-0.181;0.040;0.208;0.037
57893;2017;5;20;final;74.408;0.060;452.905;0.047;final;397.2618;0.0378;1.3522;0.0135;final;-98.315;0.096;-12.793;0.035;-0.168;0.038;0.180;0.035
57894;2017;5;21;final;76.327;0.059;453.658;0.046;final;395.8333;0.0381;1.4977;0.0133;final;-98.673;0.096;-12.793;0.038;-0.152;0.038;0.155;0.038
57895;2017;5;22;final;78.345;0.059;454.500;0.046;final;394.2837;0.0386;1.6222;0.0133;final;-99.075;0.096;-12.807;0.038;-0.135;0.038;0.130;0.038
57896;2017;5;23;final;79.818;0.059;455.094;0.046;final;392.6358;0.0390;1.6934;0.0133;final;-99.269;0.096;-12.718;0.038;-0.119;0.038;0.106;0.038
57897;2017;5;24;final;81.146;0.059;455.471;0.047;final;390.9456;0.0397;1.6679;0.0134;final;-99.491;0.096;-12.599;0.038;-0.120;0.038;0.118;0.038
57898;2017;5;25;final;82.346;0.059;455.655;0.047;final;389.3101;0.0395;1.5636;0.0134;final;-99.958;0.093;-12.669;0.040;-0.125;0.037;0.141;0.040
57899;2017;5;26;final;83.952;0.059;455.914;0.047;final;387.8121;0.0382;1.3532;0.0135;final;-100.526;0.090;-12.901;0.040;-0.131;0.036;0.163;0.040
57900;2017;5;27;final;85.481;0.059;456.289;0.047;final;386.5322;0.0385;1.1539;0.0135;final;-100.789;0.085;-13.082;0.040;-0.123;0.034;0.152;0.040
57901;2017;5;28;final;87.445;0.060;456.398;0.047;final;385.4003;0.0388;1.0370;0.0136;final;-100.599;0.085;-13.071;0.040;-0.111;0.034;0.129;0.040
57902;2017;5;29;final;89.860;0.060;456.518;0.047;final;384.3265;0.0390;1.0588;0.0136;final;-100.141;0.085;-12.983;0.040;-0.098;0.034;0.107;0.040
57903;2017;5;30;final;92.123;0.060;457.095;0.047;final;383.2260;0.0393;1.1621;0.0137;final;-99.794;0.085;-12.964;0.040;-0.086;0.034;0.084;0.040
57904;2017;5;31;final;94.022;0.059;457.368;0.047;final;382.0438;0.0339;1.2650;0.0134;final;-99.845;0.085;-12.988;0.035;-0.073;0.034;0.061;0.035
57905;2017;6;1;final;95.978;0.058;457.498;0.047;final;380.7394;0.0315;1.3426;0.0134;final;-100.275;0.080;-12.927;0.037;-0.077;0.032;0.087;0.037
57906;2017;6;2;prediction;97.752;0.058;457.795;0.047;prediction;379.3531;0.0311;;;prediction;;;;;-0.085;0.032;0.126;0.037
57907;2017;6;3;prediction;99.573;0.058;458.206;0.047;prediction;377.9556;0.0305;;;prediction;;;;;-0.072;0.032;0.133;0.038
57908;2017;6;4;prediction;101.111;0.058;458.590;0.047;prediction;376.6267;0.0299;;;prediction;;;;;-0.052;0.032;0.128;0.038
57909;2017;6;5;prediction;102.700;0.058;458.513;0.047;prediction;375.4108;0.0293;;;prediction;;;;;-0.032;0.032;0.122;0.038
57910;2017;6;6;prediction;103.946;0.058;458.438;0.047;prediction;374.3205;0.0287;;;prediction;;;;;-0.012;0.032;0.117;0.038
57911;2017;6;7;prediction;105.361;0.058;458.298;0.047;prediction;373.3699;0.0282;;;prediction;;;;;0.008;0.032;0.111;0.038
57912;2017;6;8;prediction;106.862;0.059;458.058;0.047;prediction;372.5815;0.0275;;;prediction;;;;;-0.026;0.032;0.152;0.038
57913;2017;6;9;prediction;108.540;0.059;457.800;0.047;prediction;371.9533;0.0268;;;prediction;;;;;-0.074;0.031;0.206;0.038
57914;2017;6;10;prediction;109.977;0.059;457.494;0.048;prediction;371.4425;0.0265;;;prediction;;;;;-0.072;0.032;0.229;0.038
57915;2017;6;11;prediction;111.454;0.060;457.223;0.048;prediction;371.0007;0.0263;;;prediction;;;;;-0.053;0.032;0.242;0.039
57916;2017;6;12;prediction;112.994;0.060;456.987;0.048;prediction;370.6104;0.0261;;;prediction;;;;;-0.033;0.033;0.255;0.039
57917;2017;6;13;prediction;114.571;0.061;457.207;0.048;prediction;370.2571;0.0259;;;prediction;;;;;-0.013;0.033;0.267;0.039
57918;2017;6;14;prediction;116.261;0.061;457.414;0.049;prediction;369.8733;0.0257;;;prediction;;;;;-0.057;0.034;0.243;0.040
57919;2017;6;15;prediction;118.298;0.062;457.293;0.049;prediction;369.3660;0.0253;;;prediction;;;;;-0.117;0.035;0.210;0.040
57920;2017;6;16;prediction;120.562;0.062;457.132;0.050;prediction;368.7005;0.0259;;;prediction;;;;;-0.116;0.035;0.200;0.041
57921;2017;6;17;prediction;122.607;0.063;456.665;0.050;prediction;367.9502;0.0268;;;prediction;;;;;-0.092;0.036;0.199;0.042
57922;2017;6;18;prediction;124.166;0.063;456.227;0.051;prediction;367.1883;0.0278;;;prediction;;;;;-0.068;0.037;0.198;0.043
57923;2017;6;19;prediction;125.744;0.064;455.691;0.051;prediction;366.4371;0.0289;;;prediction;;;;;-0.044;0.037;0.197;0.044
57924;2017;6;20;prediction;127.847;0.065;455.334;0.052;prediction;365.6675;0.0300;;;prediction;;;;;-0.020;0.038;0.196;0.044
57925;2017;6;21;prediction;130.465;0.067;454.967;0.053;prediction;364.8540;0.0310;;;prediction;;;;;-0.020;0.039;0.192;0.046
57926;2017;6;22;prediction;133.166;0.053;454.780;0.065;prediction;363.9903;0.0330;;;prediction;;;;;-0.027;0.038;0.187;0.037
57927;2017;6;23;prediction;135.990;0.053;454.461;0.066;prediction;363.4452;0.0333;;;prediction;;;;;-0.034;0.039;0.181;0.038
57928;2017;6;24;prediction;138.768;0.053;454.119;0.068;prediction;363.0771;0.0336;;;prediction;;;;;-0.040;0.039;0.176;0.038
57929;2017;6;25;prediction;141.014;0.053;453.979;0.070;prediction;362.5925;0.0338;;;prediction;;;;;-0.047;0.040;0.171;0.039
57930;2017;6;26;prediction;143.049;0.053;453.484;0.072;prediction;362.2016;0.0341;;;prediction;;;;;-0.054;0.040;0.166;0.039
57931;2017;6;27;prediction;145.134;0.053;452.667;0.074;prediction;361.7438;0.0343;;;prediction;;;;;-0.060;0.041;0.161;0.039
57932;2017;6;28;prediction;147.202;0.053;451.658;0.076;prediction;361.1631;0.0348;;;prediction;;;;;0.000;0.042;0.000;0.040
