MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58636;2019;6;2;final;111.767;0.043;429.661;0.029;final;-170.5907;0.0068;0.4583;0.0090;final;-106.424;0.113;-11.096;0.026;0.105;0.045;-0.211;0.026
58637;2019;6;3;final;114.354;0.043;430.266;0.029;final;-170.9787;0.0068;0.3102;0.0091;final;-106.263;0.116;-11.315;0.026;0.143;0.046;-0.214;0.026
58638;2019;6;4;final;117.030;0.044;430.851;0.029;final;-171.2318;0.0068;0.2154;0.0090;final;-106.053;0.093;-11.538;0.026;0.223;0.037;-0.218;0.026
58639;2019;6;5;final;119.239;0.044;431.321;0.029;final;-171.4035;0.0069;0.1493;0.0090;final;-106.325;0.096;-11.598;0.027;0.159;0.038;-0.183;0.027
58640;2019;6;6;final;121.052;0.044;431.429;0.029;final;-171.5420;0.0068;0.1022;0.0090;final;-106.709;0.090;-11.495;0.026;0.065;0.036;-0.139;0.026
58641;2019;6;7;final;122.690;0.044;430.872;0.029;final;-171.6602;0.0065;0.1382;0.0090;final;-107.005;0.093;-11.323;0.026;-0.029;0.037;-0.094;0.026
58642;2019;6;8;final;124.490;0.044;430.649;0.029;final;-171.8378;0.0065;0.2370;0.0091;final;-106.986;0.108;-11.256;0.029;-0.059;0.043;-0.112;0.029
58643;2019;6;9;final;126.185;0.044;430.126;0.030;final;-172.1356;0.0065;0.3910;0.0090;final;-106.786;0.111;-11.282;0.030;-0.073;0.044;-0.153;0.030
58644;2019;6;10;final;128.346;0.044;429.871;0.030;final;-172.5999;0.0065;0.5326;0.0091;final;-106.592;0.108;-11.314;0.029;-0.105;0.043;-0.193;0.029
58645;2019;6;11;final;130.420;0.044;429.746;0.030;final;-173.2075;0.0067;0.6185;0.0091;final;-106.396;0.088;-11.302;0.026;-0.080;0.035;-0.240;0.026
58646;2019;6;12;final;132.347;0.044;429.558;0.030;final;-173.8778;0.0064;0.6416;0.0090;final;-106.596;0.088;-11.253;0.026;-0.087;0.035;-0.282;0.026
58647;2019;6;13;final;134.380;0.044;429.399;0.030;final;-174.4966;0.0064;0.5803;0.0091;final;-107.056;0.090;-11.174;0.026;-0.063;0.036;-0.267;0.026
58648;2019;6;14;final;136.665;0.044;429.210;0.029;final;-175.0200;0.0064;0.4295;0.0090;final;-107.635;0.090;-11.130;0.026;-0.030;0.036;-0.238;0.026
58649;2019;6;15;final;138.696;0.044;429.013;0.029;final;-175.3572;0.0067;0.2232;0.0090;final;-108.089;0.093;-11.108;0.027;-0.011;0.037;-0.209;0.027
58650;2019;6;16;final;140.244;0.044;428.691;0.029;final;-175.4768;0.0065;0.0056;0.0089;final;-108.214;0.093;-11.088;0.027;0.004;0.037;-0.180;0.027
58651;2019;6;17;final;141.742;0.044;428.108;0.029;final;-175.3998;0.0065;-0.1226;0.0090;final;-108.081;0.093;-11.085;0.029;0.019;0.037;-0.152;0.029
58652;2019;6;18;final;143.306;0.044;427.548;0.029;final;-175.2467;0.0065;-0.1850;0.0090;final;-107.905;0.096;-11.114;0.028;0.035;0.038;-0.123;0.028
58653;2019;6;19;final;144.520;0.044;426.783;0.029;final;-175.0128;0.0066;-0.2563;0.0090;final;-107.897;0.098;-11.204;0.028;0.028;0.039;-0.141;0.028
58654;2019;6;20;final;145.785;0.044;426.239;0.030;final;-174.7707;0.0065;-0.2204;0.0091;final;-108.018;0.098;-11.275;0.028;0.016;0.039;-0.171;0.028
58655;2019;6;21;final;147.173;0.044;426.049;0.030;final;-174.5848;0.0065;-0.1854;0.0091;final;-108.216;0.093;-11.303;0.027;0.004;0.037;-0.200;0.027
58656;2019;6;22;final;148.413;0.044;425.881;0.030;final;-174.4462;0.0065;-0.1293;0.0091;final;-108.420;0.096;-11.297;0.030;0.008;0.038;-0.193;0.030
58657;2019;6;23;final;149.350;0.044;425.828;0.030;final;-174.3746;0.0066;-0.0267;0.0091;final;-108.598;0.096;-11.334;0.030;0.016;0.038;-0.187;0.030
58658;2019;6;24;final;149.618;0.044;425.363;0.030;final;-174.3620;0.0066;0.0200;0.0092;final;-108.679;0.098;-11.387;0.030;0.025;0.039;-0.181;0.030
58659;2019;6;25;final;150.448;0.045;424.527;0.030;final;-174.4211;0.0067;0.0574;0.0092;final;-108.716;0.098;-11.385;0.031;0.034;0.039;-0.175;0.031
58660;2019;6;26;final;151.477;0.045;423.562;0.030;final;-174.4783;0.0067;0.0391;0.0093;final;-108.988;0.101;-11.289;0.031;0.019;0.040;-0.179;0.031
