MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
59032;2020;7;2;final;168.557;0.045;431.033;0.031;final;-239.4930;0.0093;-0.7733;0.0124;final;-112.006;0.186;-9.977;0.056;0.128;0.074;-0.156;0.056
59033;2020;7;3;final;170.032;0.045;430.055;0.031;final;-238.6042;0.0094;-0.9919;0.0124;final;-112.165;0.189;-10.078;0.056;0.145;0.075;-0.167;0.056
59034;2020;7;4;final;171.560;0.045;428.853;0.031;final;-237.4976;0.0092;-1.1888;0.0125;final;-111.970;0.176;-10.116;0.053;0.172;0.070;-0.173;0.053
59035;2020;7;5;final;173.368;0.045;427.397;0.031;final;-236.2157;0.0092;-1.3336;0.0125;final;-111.636;0.173;-10.143;0.052;0.199;0.069;-0.179;0.052
59036;2020;7;6;final;175.553;0.045;426.079;0.031;final;-234.8932;0.0092;-1.3264;0.0126;final;-111.350;0.176;-10.239;0.052;0.226;0.070;-0.186;0.052
59037;2020;7;7;final;177.661;0.045;424.849;0.031;final;-233.6113;0.0092;-1.2547;0.0126;final;-111.217;0.178;-10.401;0.053;0.253;0.071;-0.193;0.053
59038;2020;7;8;final;179.613;0.046;423.425;0.032;final;-232.4088;0.0092;-1.1768;0.0127;final;-111.407;0.178;-10.525;0.053;0.226;0.071;-0.189;0.053
59039;2020;7;9;final;181.521;0.045;421.864;0.031;final;-231.2898;0.0092;-1.0791;0.0123;final;-111.799;0.181;-10.547;0.053;0.185;0.072;-0.183;0.053
59040;2020;7;10;final;183.418;0.045;420.421;0.031;final;-230.2231;0.0092;-0.9941;0.0123;final;-112.273;0.184;-10.499;0.054;0.145;0.073;-0.177;0.054
59041;2020;7;11;final;185.188;0.045;419.417;0.031;final;-229.2534;0.0092;-0.9766;0.0124;final;-112.643;0.184;-10.446;0.054;0.132;0.073;-0.166;0.054
59042;2020;7;12;final;186.700;0.046;418.240;0.031;final;-228.2505;0.0092;-1.0200;0.0124;final;-112.871;0.186;-10.400;0.054;0.130;0.074;-0.154;0.054
59043;2020;7;13;final;187.629;0.045;416.964;0.031;final;-227.2025;0.0092;-1.0697;0.0121;final;-113.044;0.189;-10.293;0.054;0.127;0.075;-0.143;0.054
59044;2020;7;14;final;188.400;0.045;415.662;0.031;final;-226.1191;0.0093;-1.1213;0.0121;final;-113.305;0.191;-10.079;0.054;0.125;0.076;-0.131;0.054
59045;2020;7;15;final;189.708;0.045;414.695;0.031;final;-224.9892;0.0094;-1.1788;0.0121;final;-113.705;0.194;-9.852;0.056;0.140;0.077;-0.144;0.056
59046;2020;7;16;final;190.936;0.046;413.918;0.031;final;-223.7845;0.0096;-1.2457;0.0122;final;-114.190;0.196;-9.742;0.058;0.159;0.078;-0.165;0.058
