MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58697;2019;8;2;final;206.262;0.043;391.220;0.029;final;-159.8692;0.0063;-0.2143;0.0096;final;-115.158;0.078;-11.190;0.023;-0.094;0.031;-0.034;0.023
58698;2019;8;3;final;207.816;0.043;390.218;0.029;final;-159.7619;0.0063;0.0136;0.0097;final;-115.092;0.080;-10.980;0.023;-0.108;0.032;-0.028;0.023
58699;2019;8;4;final;209.328;0.043;389.372;0.029;final;-159.8705;0.0063;0.2047;0.0095;final;-115.362;0.078;-10.914;0.023;-0.118;0.031;-0.029;0.023
58700;2019;8;5;final;210.566;0.043;388.756;0.029;final;-160.1388;0.0063;0.2868;0.0095;final;-115.856;0.078;-10.967;0.023;-0.128;0.031;-0.029;0.023
58701;2019;8;6;final;211.602;0.043;388.370;0.029;final;-160.4604;0.0063;0.2509;0.0096;final;-116.297;0.080;-11.014;0.023;-0.137;0.032;-0.030;0.023
58702;2019;8;7;final;212.386;0.043;388.019;0.029;final;-160.6720;0.0063;0.1189;0.0096;final;-116.416;0.080;-11.034;0.023;-0.117;0.032;-0.031;0.023
58703;2019;8;8;final;212.729;0.043;387.457;0.029;final;-160.6950;0.0063;-0.0725;0.0097;final;-116.293;0.083;-11.102;0.024;-0.090;0.033;-0.032;0.024
58704;2019;8;9;final;213.213;0.043;386.456;0.029;final;-160.5177;0.0063;-0.2884;0.0097;final;-116.170;0.080;-11.225;0.023;-0.063;0.032;-0.032;0.023
58705;2019;8;10;final;213.618;0.043;385.343;0.029;final;-160.0900;0.0063;-0.5104;0.0097;final;-116.306;0.096;-11.318;0.024;-0.063;0.038;-0.027;0.024
58706;2019;8;11;final;213.982;0.043;383.799;0.029;final;-159.5070;0.0062;-0.6517;0.0098;final;-116.622;0.111;-11.351;0.024;-0.082;0.044;-0.019;0.024
58707;2019;8;12;final;214.516;0.042;382.169;0.029;final;-158.8184;0.0063;-0.7450;0.0096;final;-116.821;0.108;-11.386;0.024;-0.094;0.043;-0.011;0.024
58708;2019;8;13;final;214.944;0.042;380.545;0.029;final;-158.0556;0.0063;-0.7526;0.0097;final;-116.761;0.080;-11.464;0.024;-0.096;0.032;-0.003;0.024
58709;2019;8;14;final;215.570;0.042;378.976;0.029;final;-157.3339;0.0063;-0.6479;0.0097;final;-116.539;0.080;-11.520;0.024;-0.092;0.032;-0.008;0.024
58710;2019;8;15;final;216.255;0.042;377.777;0.029;final;-156.7325;0.0063;-0.5263;0.0097;final;-116.346;0.083;-11.417;0.025;-0.085;0.033;-0.017;0.025
58711;2019;8;16;final;216.650;0.043;376.719;0.029;final;-156.2758;0.0063;-0.4420;0.0098;final;-116.317;0.083;-11.153;0.025;-0.078;0.033;-0.025;0.025
58712;2019;8;17;final;216.754;0.043;375.676;0.029;final;-155.8223;0.0063;-0.3914;0.0098;final;-116.468;0.083;-10.893;0.025;-0.078;0.033;-0.031;0.025
58713;2019;8;18;final;216.967;0.042;374.479;0.029;final;-155.5081;0.0063;-0.3343;0.0096;final;-116.658;0.098;-10.792;0.026;-0.080;0.039;-0.037;0.026
58714;2019;8;19;final;216.955;0.042;373.221;0.029;final;-155.2168;0.0063;-0.2577;0.0096;final;-116.700;0.098;-10.824;0.026;-0.081;0.039;-0.042;0.026
58715;2019;8;20;final;217.091;0.042;371.942;0.029;final;-154.9961;0.0063;-0.1989;0.0096;final;-116.550;0.121;-10.854;0.027;-0.084;0.048;-0.048;0.027
58716;2019;8;21;final;217.230;0.042;370.375;0.029;final;-154.8084;0.0063;-0.1647;0.0096;final;-116.483;0.123;-10.776;0.027;-0.112;0.049;-0.005;0.027
58717;2019;8;22;final;217.272;0.042;368.758;0.029;final;-154.6673;0.0063;-0.1669;0.0097;final;-116.786;0.121;-10.715;0.027;-0.147;0.048;0.050;0.027
58718;2019;8;23;final;217.165;0.042;367.288;0.029;final;-154.5252;0.0062;-0.1556;0.0098;final;-117.490;0.116;-10.770;0.026;-0.183;0.046;0.105;0.026
58719;2019;8;24;final;216.960;0.042;365.626;0.029;final;-154.3575;0.0062;-0.2124;0.0098;final;-118.111;0.118;-10.941;0.026;-0.182;0.047;0.097;0.026
58720;2019;8;25;final;216.576;0.043;363.641;0.029;final;-154.0886;0.0062;-0.3113;0.0098;final;-118.301;0.118;-11.053;0.026;-0.168;0.047;0.065;0.026
58721;2019;8;26;final;216.475;0.043;361.730;0.029;final;-153.7159;0.0063;-0.3994;0.0099;final;-118.106;0.118;-11.071;0.026;-0.153;0.047;0.033;0.026
58722;2019;8;27;final;216.321;0.043;359.809;0.029;final;-153.3169;0.0063;-0.4033;0.0099;final;-117.831;0.121;-11.115;0.026;-0.139;0.048;0.001;0.026
58723;2019;8;28;final;216.310;0.043;358.045;0.029;final;-152.9938;0.0063;-0.2600;0.0099;final;-117.622;0.121;-11.166;0.026;-0.135;0.048;0.007;0.026
58724;2019;8;29;final;215.888;0.043;356.166;0.029;final;-152.8093;0.0062;-0.0652;0.0100;final;-117.382;0.121;-11.099;0.026;-0.134;0.048;0.022;0.026
58725;2019;8;30;final;215.395;0.043;354.448;0.029;final;-152.8582;0.0062;0.1616;0.0100;final;-117.143;0.123;-10.849;0.027;-0.133;0.049;0.037;0.027
58726;2019;8;31;final;214.504;0.043;352.577;0.029;final;-153.1164;0.0063;0.3876;0.0101;final;-117.151;0.123;-10.604;0.027;-0.150;0.049;0.047;0.027
58727;2019;9;1;final;214.352;0.043;351.053;0.029;final;-153.6230;0.0064;0.5537;0.0101;final;-117.451;0.126;-10.564;0.027;-0.174;0.050;0.054;0.027
58728;2019;9;2;prediction;214.110;0.043;349.741;0.029;prediction;-154.2362;0.0064;;;prediction;;;;;-0.197;0.050;0.061;0.028
58729;2019;9;3;prediction;213.910;0.043;348.484;0.029;prediction;-154.8126;0.0064;;;prediction;;;;;-0.220;0.051;0.068;0.028
58730;2019;9;4;prediction;213.380;0.043;346.732;0.030;prediction;-155.2653;0.0065;;;prediction;;;;;-0.236;0.051;0.142;0.029
58731;2019;9;5;prediction;213.386;0.044;345.193;0.030;prediction;-155.5174;0.0066;;;prediction;;;;;-0.214;0.052;0.113;0.029
58732;2019;9;6;prediction;213.195;0.044;343.273;0.030;prediction;-155.5427;0.0066;;;prediction;;;;;-0.181;0.052;0.049;0.030
58733;2019;9;7;prediction;213.676;0.044;341.613;0.030;prediction;-155.3511;0.0067;;;prediction;;;;;-0.172;0.052;0.023;0.030
58734;2019;9;8;prediction;213.665;0.044;340.163;0.030;prediction;-155.1104;0.0068;;;prediction;;;;;-0.171;0.053;0.009;0.030
58735;2019;9;9;prediction;213.684;0.045;338.956;0.031;prediction;-154.7174;0.0068;;;prediction;;;;;-0.171;0.054;-0.004;0.031
58736;2019;9;10;prediction;212.873;0.045;337.563;0.031;prediction;-154.3020;0.0069;;;prediction;;;;;-0.171;0.054;-0.017;0.031
58737;2019;9;11;prediction;211.751;0.046;336.349;0.031;prediction;-153.9400;0.0070;;;prediction;;;;;-0.172;0.055;0.015;0.032
58738;2019;9;12;prediction;210.197;0.046;334.429;0.032;prediction;-153.5992;0.0071;;;prediction;;;;;-0.173;0.055;0.059;0.032
58739;2019;9;13;prediction;209.425;0.047;332.550;0.032;prediction;-153.3807;0.0071;;;prediction;;;;;-0.174;0.056;0.103;0.033
58740;2019;9;14;prediction;208.687;0.047;330.707;0.033;prediction;-153.2914;0.0072;;;prediction;;;;;-0.151;0.056;0.099;0.034
58741;2019;9;15;prediction;208.504;0.048;329.573;0.033;prediction;-153.3191;0.0074;;;prediction;;;;;-0.119;0.057;0.077;0.034
58742;2019;9;16;prediction;207.754;0.049;328.381;0.034;prediction;-153.3364;0.0075;;;prediction;;;;;-0.087;0.058;0.054;0.035
58743;2019;9;17;prediction;207.411;0.050;326.994;0.034;prediction;-153.3319;0.0076;;;prediction;;;;;-0.055;0.058;0.032;0.036
58744;2019;9;18;prediction;206.748;0.051;325.475;0.035;prediction;-153.2886;0.0077;;;prediction;;;;;-0.056;0.059;0.048;0.038
58745;2019;9;19;prediction;206.099;0.052;324.192;0.035;prediction;-153.1643;0.0079;;;prediction;;;;;-0.066;0.060;0.074;0.040
58746;2019;9;20;prediction;204.765;0.052;323.019;0.036;prediction;-152.9223;0.0081;;;prediction;;;;;-0.076;0.061;0.101;0.043
58747;2019;9;21;prediction;203.793;0.053;321.718;0.037;prediction;-152.5495;0.0083;;;prediction;;;;;-0.098;0.500;0.118;0.500
58748;2019;9;22;prediction;202.851;0.054;320.327;0.037;prediction;-152.1067;0.0086;;;prediction;;;;;-0.097;0.500;0.112;0.500
58749;2019;9;23;prediction;202.287;0.054;319.433;0.038;prediction;-151.6526;0.0089;;;prediction;;;;;-0.093;0.500;0.097;0.500
58750;2019;9;24;prediction;201.526;0.055;318.518;0.038;prediction;-151.2083;0.0092;;;prediction;;;;;-0.089;0.500;0.080;0.500
58751;2019;9;25;prediction;201.096;0.056;317.791;0.039;prediction;-150.9007;0.0095;;;prediction;;;;;-0.087;0.500;0.070;0.500
58752;2019;9;26;prediction;200.039;0.057;317.100;0.039;prediction;-150.8975;0.0099;;;prediction;;;;;-0.091;0.500;0.068;0.500
58753;2019;9;27;prediction;199.467;0.058;316.342;0.040;prediction;-151.2358;0.0102;;;prediction;;;;;-0.101;0.500;0.071;0.500
58754;2019;9;28;prediction;199.024;0.059;315.513;0.041;prediction;-151.8265;0.0106;;;prediction;;;;;-0.112;0.500;0.076;0.500
58755;2019;9;29;prediction;198.882;0.061;314.765;0.041;prediction;-152.5279;0.0110;;;prediction;;;;;-0.122;0.500;0.085;0.500
58756;2019;9;30;prediction;198.755;0.062;313.375;0.042;prediction;-153.2245;0.0114;;;prediction;;;;;-0.126;0.500;0.097;0.500
58757;2019;10;1;prediction;198.016;0.064;312.330;0.043;prediction;-153.7847;0.0118;;;prediction;;;;;-0.123;0.500;0.112;0.500
