MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58910;2020;3;2;final;27.052;0.056;357.171;0.039;final;-205.5930;0.0095;0.5935;0.0123;final;-107.618;0.176;-8.141;0.088;0.061;0.070;-0.015;0.088
58911;2020;3;3;final;26.374;0.056;359.002;0.039;final;-206.1635;0.0094;0.5165;0.0124;final;-107.667;0.178;-8.239;0.089;0.090;0.071;-0.029;0.089
58912;2020;3;4;final;26.040;0.056;360.668;0.039;final;-206.6763;0.0093;0.4635;0.0124;final;-107.675;0.178;-8.191;0.088;0.090;0.071;-0.006;0.088
58913;2020;3;5;final;26.271;0.056;362.020;0.039;final;-207.1658;0.0092;0.5028;0.0125;final;-107.792;0.181;-8.157;0.087;0.083;0.072;0.026;0.087
58914;2020;3;6;final;26.971;0.056;363.910;0.039;final;-207.6964;0.0089;0.6226;0.0126;final;-108.125;0.176;-8.377;0.083;0.075;0.070;0.058;0.083
58915;2020;3;7;final;27.743;0.056;365.695;0.039;final;-208.3559;0.0087;0.8000;0.0123;final;-108.350;0.178;-8.872;0.081;0.049;0.071;0.050;0.081
58916;2020;3;8;final;28.156;0.056;367.442;0.038;final;-209.2279;0.0081;0.9841;0.0124;final;-107.965;0.166;-9.254;0.075;0.016;0.066;0.026;0.075
58917;2020;3;9;final;28.068;0.055;369.116;0.038;final;-210.3544;0.0077;1.2166;0.0124;final;-107.107;0.168;-9.201;0.073;-0.017;0.067;0.003;0.073
58918;2020;3;10;final;28.186;0.055;370.679;0.039;final;-211.7167;0.0075;1.4868;0.0125;final;-106.499;0.168;-8.856;0.071;-0.050;0.067;-0.020;0.071
58919;2020;3;11;final;28.655;0.055;372.325;0.039;final;-213.2290;0.0073;1.5777;0.0126;final;-106.433;0.168;-8.568;0.068;-0.012;0.067;0.001;0.068
58920;2020;3;12;final;29.168;0.055;373.782;0.039;final;-214.7503;0.0071;1.4394;0.0126;final;-106.813;0.168;-8.530;0.065;0.045;0.067;0.034;0.065
58921;2020;3;13;final;30.390;0.054;375.474;0.039;final;-216.1386;0.0069;1.2287;0.0127;final;-107.160;0.168;-8.597;0.063;0.102;0.067;0.067;0.063
58922;2020;3;14;final;31.837;0.054;377.519;0.039;final;-217.2921;0.0067;0.9841;0.0128;final;-107.352;0.161;-8.624;0.057;0.092;0.064;0.111;0.057
58923;2020;3;15;final;33.166;0.053;379.483;0.038;final;-218.1787;0.0062;0.7350;0.0125;final;-107.339;0.148;-8.667;0.053;0.059;0.059;0.160;0.053
