MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58454;2018;12;2;final;146.188;0.058;273.492;0.040;final;-13.7963;0.0158;1.2950;0.0129;final;-107.465;0.236;-7.770;0.080;0.370;0.094;0.091;0.080
58455;2018;12;3;final;143.733;0.057;272.864;0.039;final;-15.0275;0.0159;1.2135;0.0126;final;-107.717;0.226;-7.827;0.075;0.357;0.090;0.093;0.075
58456;2018;12;4;final;141.902;0.057;272.288;0.039;final;-16.1613;0.0162;1.0113;0.0126;final;-108.068;0.229;-7.884;0.079;0.345;0.091;0.094;0.079
58457;2018;12;5;final;139.736;0.057;272.071;0.039;final;-17.0167;0.0164;0.7823;0.0127;final;-108.306;0.234;-7.913;0.082;0.333;0.093;0.096;0.082
58458;2018;12;6;final;137.181;0.057;271.827;0.039;final;-17.7271;0.0165;0.6074;0.0127;final;-108.296;0.236;-7.911;0.086;0.320;0.094;0.098;0.086
58459;2018;12;7;final;134.745;0.057;271.478;0.039;final;-18.2953;0.0164;0.5137;0.0128;final;-108.076;0.241;-7.898;0.094;0.317;0.096;0.112;0.094
58460;2018;12;8;final;132.922;0.057;271.000;0.040;final;-18.7510;0.0166;0.4389;0.0129;final;-107.814;0.244;-7.947;0.096;0.322;0.097;0.093;0.096
58461;2018;12;9;final;131.771;0.057;270.813;0.040;final;-19.1537;0.0167;0.3767;0.0129;final;-107.542;0.249;-7.983;0.100;0.345;0.099;0.083;0.100
58462;2018;12;10;final;130.336;0.057;271.024;0.040;final;-19.5688;0.0170;0.3776;0.0130;final;-107.261;0.251;-7.953;0.104;0.368;0.100;0.073;0.104
58463;2018;12;11;final;128.667;0.056;271.114;0.040;final;-19.9348;0.0139;0.4417;0.0131;final;-106.862;0.221;-7.862;0.072;0.439;0.088;0.049;0.072
58464;2018;12;12;final;126.861;0.056;271.006;0.040;final;-20.3877;0.0141;0.4915;0.0131;final;-106.722;0.226;-7.745;0.075;0.452;0.090;0.042;0.075
58465;2018;12;13;final;124.815;0.057;270.460;0.040;final;-20.9197;0.0143;0.5611;0.0132;final;-106.748;0.229;-7.693;0.079;0.459;0.091;0.037;0.079
58466;2018;12;14;final;123.182;0.056;270.033;0.039;final;-21.5385;0.0145;0.6532;0.0129;final;-106.792;0.234;-7.719;0.083;0.466;0.093;0.032;0.083
58467;2018;12;15;final;121.105;0.057;269.581;0.040;final;-22.2356;0.0146;0.7461;0.0129;final;-106.756;0.239;-7.779;0.087;0.462;0.095;0.021;0.087
58468;2018;12;16;final;119.215;0.057;268.992;0.040;final;-23.0399;0.0148;0.8557;0.0130;final;-106.695;0.241;-7.808;0.091;0.455;0.096;0.007;0.091
58469;2018;12;17;final;117.513;0.057;268.466;0.040;final;-23.9681;0.0148;0.9899;0.0131;final;-106.777;0.246;-7.753;0.095;0.448;0.098;-0.007;0.095
58470;2018;12;18;final;115.378;0.057;268.031;0.040;final;-25.0054;0.0149;1.0471;0.0131;final;-106.991;0.249;-7.582;0.100;0.441;0.099;-0.021;0.100
58471;2018;12;19;final;113.310;0.058;267.412;0.040;final;-26.0531;0.0149;0.9827;0.0132;final;-107.147;0.254;-7.308;0.104;0.434;0.101;-0.035;0.104
58472;2018;12;20;final;111.645;0.057;267.029;0.040;final;-26.9508;0.0149;0.8161;0.0129;final;-107.172;0.256;-7.056;0.109;0.427;0.102;-0.049;0.109
58473;2018;12;21;final;109.928;0.057;266.784;0.040;final;-27.6885;0.0149;0.6370;0.0130;final;-107.210;0.261;-7.012;0.115;0.420;0.104;-0.063;0.115
58474;2018;12;22;final;107.844;0.058;266.547;0.040;final;-28.2633;0.0149;0.5040;0.0130;final;-107.295;0.266;-7.203;0.121;0.424;0.106;-0.045;0.121
58475;2018;12;23;final;105.771;0.058;266.523;0.040;final;-28.7260;0.0149;0.4507;0.0131;final;-107.250;0.271;-7.441;0.128;0.433;0.108;-0.016;0.128
58476;2018;12;24;final;103.568;0.058;266.619;0.040;final;-29.1805;0.0149;0.4771;0.0132;final;-106.905;0.274;-7.451;0.136;0.441;0.109;0.012;0.136
58477;2018;12;25;final;101.399;0.058;266.731;0.040;final;-29.7086;0.0150;0.5616;0.0133;final;-106.364;0.279;-7.187;0.144;0.450;0.111;0.041;0.144
58478;2018;12;26;final;99.191;0.059;267.291;0.040;final;-30.3403;0.0152;0.7122;0.0133;final;-105.918;0.284;-6.884;0.152;0.458;0.113;0.070;0.152
58479;2018;12;27;final;97.243;0.059;268.062;0.041;final;-31.1250;0.0153;0.8673;0.0134;final;-105.722;0.289;-6.756;0.160;0.467;0.115;0.099;0.160
58480;2018;12;28;final;95.386;0.059;268.943;0.041;final;-32.0558;0.0155;1.0205;0.0135;final;-105.686;0.294;-6.861;0.166;0.492;0.117;0.056;0.166
58481;2018;12;29;final;93.287;0.060;269.794;0.041;final;-33.0778;0.0155;1.1069;0.0136;final;-107.025;0.297;-7.014;0.170;0.000;0.118;0.000;0.170
58482;2018;12;30;final;90.833;0.060;270.481;0.041;final;-34.1395;0.0156;1.0616;0.0137;final;-107.136;0.299;-7.091;0.174;0.000;0.119;0.000;0.174
58483;2018;12;31;final;88.418;0.060;270.759;0.042;final;-35.1996;0.0156;0.9708;0.0138;final;-107.286;0.304;-7.175;0.177;0.000;0.121;0.000;0.177
58484;2019;1;1;final;86.355;0.061;271.110;0.042;final;-36.1757;0.0156;0.9181;0.0139;final;-107.515;0.307;-7.255;0.180;0.000;0.122;0.000;0.180
58485;2019;1;2;prediction;84.456;0.061;272.016;0.043;prediction;-37.0637;0.0156;;;prediction;;;;;0.000;0.123;0.000;0.182
58486;2019;1;3;prediction;81.850;0.062;272.577;0.043;prediction;-37.7869;0.0156;;;prediction;;;;;0.000;0.124;0.000;0.184
58487;2019;1;4;prediction;79.025;0.063;272.565;0.043;prediction;-38.3089;0.0155;;;prediction;;;;;0.000;0.125;0.000;0.185
58488;2019;1;5;prediction;76.408;0.063;272.546;0.044;prediction;-38.7706;0.0154;;;prediction;;;;;0.000;0.126;0.000;0.187
58489;2019;1;6;prediction;74.158;0.064;272.886;0.045;prediction;-39.2232;0.0152;;;prediction;;;;;0.000;0.127;0.000;0.188
58490;2019;1;7;prediction;72.145;0.065;273.371;0.046;prediction;-39.5131;0.0150;;;prediction;;;;;0.000;0.128;0.000;0.189
58491;2019;1;8;prediction;71.088;0.067;273.794;0.046;prediction;-39.7751;0.0149;;;prediction;;;;;0.000;0.129;0.000;0.190
58492;2019;1;9;prediction;70.623;0.068;274.765;0.047;prediction;-40.1420;0.0148;;;prediction;;;;;0.000;0.130;0.000;0.191
58493;2019;1;10;prediction;69.768;0.070;275.754;0.049;prediction;-40.6156;0.0147;;;prediction;;;;;0.000;0.131;0.000;0.192
58494;2019;1;11;prediction;68.786;0.072;276.037;0.050;prediction;-41.1338;0.0146;;;prediction;;;;;0.000;0.132;0.000;0.192
58495;2019;1;12;prediction;68.362;0.074;276.955;0.052;prediction;-41.7637;0.0146;;;prediction;;;;;0.000;0.132;0.000;0.193
58496;2019;1;13;prediction;67.597;0.033;278.379;0.026;prediction;-42.5099;0.0091;;;prediction;;;;;0.000;0.071;0.000;0.060
58497;2019;1;14;prediction;66.993;0.034;280.003;0.026;prediction;-43.3183;0.0092;;;prediction;;;;;0.000;0.072;0.000;0.063
58498;2019;1;15;prediction;66.267;0.034;281.947;0.026;prediction;-44.1943;0.0092;;;prediction;;;;;0.000;0.073;0.000;0.065
58499;2019;1;16;prediction;65.529;0.035;283.704;0.027;prediction;-45.0766;0.0094;;;prediction;;;;;0.000;0.075;0.000;0.069
58500;2019;1;17;prediction;64.410;0.035;285.514;0.027;prediction;-45.9561;0.0096;;;prediction;;;;;0.000;0.076;0.000;0.074
58501;2019;1;18;prediction;63.010;0.035;286.780;0.027;prediction;-46.7781;0.0098;;;prediction;;;;;0.000;0.078;0.000;0.079
58502;2019;1;19;prediction;61.854;0.036;287.728;0.028;prediction;-47.5137;0.0100;;;prediction;;;;;0.000;0.079;0.000;0.083
58503;2019;1;20;prediction;60.887;0.036;288.645;0.028;prediction;-48.2622;0.0102;;;prediction;;;;;0.000;0.080;0.000;0.087
58504;2019;1;21;prediction;59.951;0.036;289.599;0.028;prediction;-49.0451;0.0104;;;prediction;;;;;0.000;0.082;0.000;0.091
58505;2019;1;22;prediction;59.487;0.037;290.569;0.029;prediction;-49.9798;0.0106;;;prediction;;;;;0.000;0.083;0.000;0.095
58506;2019;1;23;prediction;58.987;0.037;291.937;0.029;prediction;-51.0554;0.0109;;;prediction;;;;;0.000;0.084;0.000;0.099
58507;2019;1;24;prediction;58.400;0.037;293.874;0.029;prediction;-52.2558;0.0111;;;prediction;;;;;0.000;0.085;0.000;0.102
58508;2019;1;25;prediction;57.011;0.036;295.886;0.030;prediction;-53.6506;0.0113;;;prediction;;;;;0.000;0.087;0.000;0.105
58509;2019;1;26;prediction;55.441;0.036;297.198;0.030;prediction;-55.0923;0.0117;;;prediction;;;;;0.000;0.088;0.000;0.108
58510;2019;1;27;prediction;54.245;0.037;298.627;0.030;prediction;-56.5194;0.0120;;;prediction;;;;;0.000;0.089;0.000;0.111
58511;2019;1;28;prediction;53.506;0.037;300.087;0.030;prediction;-57.8514;0.0123;;;prediction;;;;;0.000;0.090;0.000;0.114
58512;2019;1;29;prediction;52.646;0.037;301.530;0.031;prediction;-58.9966;0.0127;;;prediction;;;;;0.000;0.091;0.000;0.116
58513;2019;1;30;prediction;51.654;0.038;302.875;0.032;prediction;-59.8776;0.0131;;;prediction;;;;;0.000;0.092;0.000;0.119
58514;2019;1;31;prediction;50.603;0.039;304.329;0.033;prediction;-60.6081;0.0135;;;prediction;;;;;0.000;0.093;0.000;0.121
58515;2019;2;1;prediction;49.845;0.040;306.178;0.034;prediction;-61.1767;0.0139;;;prediction;;;;;0.000;0.094;0.000;0.123
