MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
59002;2020;6;2;final;115.356;0.048;440.965;0.031;final;-255.2636;0.0096;0.5944;0.0127;final;-106.739;0.166;-9.983;0.058;0.042;0.066;-0.022;0.058
59003;2020;6;3;final;116.557;0.049;440.577;0.031;final;-255.8111;0.0097;0.4238;0.0127;final;-107.710;0.168;-9.903;0.060;-0.007;0.067;0.038;0.060
59004;2020;6;4;final;117.960;0.049;440.275;0.031;final;-256.1433;0.0098;0.1999;0.0128;final;-108.227;0.168;-10.104;0.060;0.043;0.067;-0.037;0.060
59005;2020;6;5;final;119.592;0.049;440.373;0.031;final;-256.2125;0.0097;-0.0442;0.0128;final;-108.259;0.171;-10.314;0.060;0.121;0.068;-0.149;0.060
59006;2020;6;6;final;121.341;0.049;440.754;0.032;final;-256.0362;0.0099;-0.2611;0.0129;final;-108.081;0.173;-10.259;0.061;0.134;0.069;-0.124;0.061
59007;2020;6;7;final;123.021;0.049;441.349;0.032;final;-255.6732;0.0102;-0.4235;0.0130;final;-107.774;0.176;-10.123;0.063;0.123;0.070;-0.049;0.063
59008;2020;6;8;final;124.214;0.048;441.730;0.031;final;-255.1905;0.0100;-0.5518;0.0127;final;-107.473;0.168;-10.119;0.062;0.112;0.067;0.026;0.062
59009;2020;6;9;final;125.342;0.048;441.604;0.031;final;-254.6373;0.0101;-0.6060;0.0127;final;-107.349;0.168;-10.251;0.064;0.101;0.067;0.101;0.064
59010;2020;6;10;final;126.901;0.049;441.125;0.031;final;-254.0253;0.0102;-0.6402;0.0128;final;-107.509;0.171;-10.488;0.065;0.082;0.068;0.045;0.065
59011;2020;6;11;final;128.704;0.049;440.696;0.031;final;-253.3824;0.0102;-0.6234;0.0128;final;-107.860;0.173;-10.608;0.066;0.061;0.069;-0.048;0.066
59012;2020;6;12;final;130.552;0.049;440.812;0.031;final;-252.7082;0.0102;-0.6319;0.0129;final;-108.024;0.176;-10.520;0.066;0.108;0.070;-0.048;0.066
59013;2020;6;13;final;132.365;0.049;440.839;0.031;final;-252.0923;0.0102;-0.5984;0.0129;final;-107.981;0.168;-10.400;0.065;0.181;0.067;-0.015;0.065
59014;2020;6;14;final;134.367;0.049;440.694;0.031;final;-251.5698;0.0102;-0.4699;0.0130;final;-107.885;0.171;-10.312;0.066;0.253;0.068;0.018;0.066
59015;2020;6;15;final;136.361;0.048;440.461;0.031;final;-251.1455;0.0102;-0.3956;0.0127;final;-107.911;0.173;-10.176;0.066;0.326;0.069;0.052;0.066
59016;2020;6;16;final;138.330;0.048;439.889;0.031;final;-250.7551;0.0102;-0.4115;0.0127;final;-108.120;0.176;-9.939;0.067;0.399;0.070;0.085;0.067
59017;2020;6;17;final;140.357;0.048;439.316;0.031;final;-250.2728;0.0102;-0.4882;0.0128;final;-108.739;0.176;-9.763;0.066;0.340;0.070;0.035;0.066
59018;2020;6;18;final;142.486;0.048;438.802;0.031;final;-249.6915;0.0100;-0.6405;0.0128;final;-109.366;0.173;-9.741;0.064;0.249;0.069;-0.036;0.064
59019;2020;6;19;final;144.941;0.048;438.049;0.031;final;-249.0204;0.0099;-0.8280;0.0129;final;-109.837;0.176;-9.937;0.063;0.157;0.070;-0.106;0.063
59020;2020;6;20;final;147.096;0.048;437.587;0.031;final;-248.1020;0.0099;-1.0077;0.0129;final;-109.937;0.176;-10.220;0.063;0.143;0.070;-0.122;0.063
59021;2020;6;21;final;149.313;0.048;437.067;0.031;final;-247.0621;0.0096;-1.1348;0.0130;final;-109.841;0.168;-10.453;0.061;0.157;0.067;-0.119;0.061
59022;2020;6;22;final;151.173;0.048;436.544;0.031;final;-245.9006;0.0096;-1.1882;0.0131;final;-109.738;0.171;-10.532;0.060;0.171;0.068;-0.116;0.060
59023;2020;6;23;final;152.501;0.048;435.847;0.031;final;-244.7075;0.0096;-1.1609;0.0131;final;-109.755;0.171;-10.474;0.060;0.185;0.068;-0.112;0.060
59024;2020;6;24;final;153.959;0.048;435.032;0.031;final;-243.5776;0.0095;-1.0582;0.0132;final;-109.879;0.173;-10.413;0.060;0.204;0.069;-0.124;0.060
59025;2020;6;25;final;155.398;0.048;434.469;0.031;final;-242.6081;0.0096;-0.8717;0.0132;final;-109.961;0.176;-10.424;0.060;0.224;0.070;-0.140;0.060
