MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58271;2018;6;2;final;116.000;0.029;446.795;0.023;final;76.6933;0.0190;0.3065;0.0074;final;-104.895;0.055;-12.245;0.044;-0.288;0.022;-0.125;0.044
58272;2018;6;3;final;117.672;0.031;446.819;0.022;final;76.3388;0.0154;0.3404;0.0073;final;-104.929;0.060;-12.286;0.046;-0.267;0.024;-0.124;0.046
58273;2018;6;4;final;118.894;0.033;446.915;0.022;final;75.9905;0.0154;0.3991;0.0070;final;-104.942;0.063;-12.326;0.048;-0.246;0.025;-0.123;0.048
58274;2018;6;5;final;120.342;0.034;446.952;0.023;final;75.6038;0.0196;0.4776;0.0069;final;-104.771;0.060;-12.317;0.044;-0.217;0.024;-0.115;0.044
58275;2018;6;6;final;121.747;0.036;447.225;0.022;final;75.1601;0.0167;0.5681;0.0065;final;-104.476;0.065;-12.253;0.036;-0.197;0.026;-0.135;0.036
58276;2018;6;7;final;122.644;0.024;447.324;0.022;final;74.4750;0.0155;0.6524;0.0065;final;-104.353;0.068;-12.116;0.036;-0.179;0.027;-0.124;0.036
58277;2018;6;8;final;123.501;0.021;447.248;0.022;final;73.7278;0.0062;0.7832;0.0056;final;-104.715;0.070;-12.021;0.037;-0.163;0.028;-0.113;0.037
58278;2018;6;9;final;124.610;0.030;446.848;0.017;final;73.0121;0.0243;0.8502;0.0059;final;-105.465;0.073;-11.994;0.034;-0.161;0.029;-0.117;0.034
58279;2018;6;10;final;125.717;0.057;446.336;0.039;final;72.1061;0.0225;0.8620;0.0124;final;-105.976;0.206;-11.923;0.091;-0.118;0.082;-0.110;0.091
58280;2018;6;11;final;127.341;0.059;445.679;0.039;final;71.2516;0.0313;0.7992;0.0118;final;-106.291;0.427;-11.730;0.153;-0.151;0.170;-0.050;0.153
