MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58850;2020;1;2;final;74.635;0.057;282.666;0.039;final;-177.5806;0.0115;0.4667;0.0127;final;-108.679;0.171;-6.596;0.098;0.353;0.068;0.081;0.098
58851;2020;1;3;final;72.663;0.057;283.156;0.040;final;-178.1029;0.0115;0.4803;0.0127;final;-108.559;0.173;-6.619;0.097;0.403;0.069;0.107;0.097
58852;2020;1;4;final;71.338;0.057;284.013;0.040;final;-178.6507;0.0115;0.4801;0.0128;final;-108.639;0.176;-6.518;0.095;0.347;0.070;0.116;0.095
58853;2020;1;5;final;70.121;0.056;284.887;0.039;final;-179.1377;0.0112;0.4064;0.0124;final;-108.871;0.178;-6.262;0.093;0.252;0.071;0.119;0.093
58854;2020;1;6;final;68.393;0.056;285.277;0.039;final;-179.4674;0.0111;0.2265;0.0124;final;-109.217;0.181;-5.943;0.090;0.156;0.072;0.121;0.090
58855;2020;1;7;final;66.587;0.056;285.482;0.039;final;-179.6058;0.0110;0.0717;0.0125;final;-109.617;0.181;-5.720;0.088;0.061;0.072;0.123;0.088
58856;2020;1;8;final;64.905;0.056;285.932;0.039;final;-179.5597;0.0109;-0.0717;0.0125;final;-110.004;0.184;-5.729;0.087;-0.034;0.073;0.125;0.087
58857;2020;1;9;final;63.591;0.056;286.537;0.039;final;-179.3746;0.0108;-0.2132;0.0126;final;-109.985;0.186;-6.015;0.084;0.013;0.074;0.098;0.084
58858;2020;1;10;final;62.631;0.056;287.462;0.039;final;-179.1201;0.0101;-0.2979;0.0126;final;-109.744;0.168;-6.423;0.073;0.100;0.067;0.061;0.073
58859;2020;1;11;final;61.854;0.055;288.667;0.039;final;-178.8961;0.0099;-0.2007;0.0127;final;-109.407;0.168;-6.683;0.071;0.127;0.067;0.051;0.071
58860;2020;1;12;final;61.134;0.055;289.907;0.039;final;-178.8057;0.0092;-0.0038;0.0123;final;-108.860;0.158;-6.663;0.067;0.131;0.063;0.051;0.067
58861;2020;1;13;final;60.864;0.054;291.018;0.039;final;-178.9353;0.0091;0.2968;0.0123;final;-108.248;0.158;-6.438;0.065;0.135;0.063;0.051;0.065
58862;2020;1;14;final;60.557;0.054;292.386;0.039;final;-179.3255;0.0089;0.5750;0.0124;final;-107.853;0.158;-6.222;0.063;0.139;0.063;0.051;0.063
58863;2020;1;15;final;59.588;0.054;293.794;0.039;final;-179.9543;0.0087;0.7465;0.0124;final;-107.732;0.158;-6.198;0.061;0.165;0.063;0.017;0.061
58864;2020;1;16;final;58.520;0.054;295.343;0.039;final;-180.7846;0.0086;0.8774;0.0124;final;-107.832;0.158;-6.307;0.059;0.197;0.063;-0.025;0.059
58865;2020;1;17;final;57.430;0.054;296.819;0.039;final;-181.7437;0.0085;1.0052;0.0124;final;-108.029;0.158;-6.425;0.058;0.228;0.063;-0.067;0.058
58866;2020;1;18;final;56.515;0.053;297.636;0.039;final;-182.7608;0.0081;1.0297;0.0125;final;-108.356;0.156;-6.451;0.054;0.220;0.062;-0.058;0.054
58867;2020;1;19;final;55.634;0.053;298.582;0.038;final;-183.7339;0.0080;0.9318;0.0122;final;-108.739;0.151;-6.434;0.051;0.197;0.060;-0.028;0.051
58868;2020;1;20;final;54.617;0.052;299.454;0.038;final;-184.5425;0.0078;0.7783;0.0122;final;-109.063;0.151;-6.416;0.049;0.174;0.060;0.001;0.049
58869;2020;1;21;final;53.801;0.052;300.237;0.038;final;-185.2307;0.0077;0.5888;0.0122;final;-109.183;0.151;-6.390;0.048;0.151;0.060;0.030;0.048
58870;2020;1;22;final;53.291;0.052;301.127;0.038;final;-185.7979;0.0075;0.4483;0.0122;final;-109.022;0.151;-6.369;0.046;0.128;0.060;0.060;0.046
58871;2020;1;23;final;52.614;0.052;302.499;0.038;final;-186.1858;0.0074;0.3249;0.0123;final;-108.610;0.151;-6.412;0.044;0.140;0.060;0.070;0.044
58872;2020;1;24;final;51.936;0.052;303.633;0.038;final;-186.4849;0.0072;0.2652;0.0123;final;-108.236;0.151;-6.517;0.042;0.162;0.060;0.074;0.042
58873;2020;1;25;final;51.962;0.052;304.754;0.038;final;-186.7980;0.0072;0.3674;0.0123;final;-108.083;0.153;-6.636;0.042;0.171;0.061;0.069;0.042
58874;2020;1;26;final;51.490;0.053;306.333;0.038;final;-187.1883;0.0073;0.4472;0.0124;final;-108.083;0.153;-6.697;0.042;0.175;0.061;0.061;0.042
58875;2020;1;27;final;50.497;0.053;307.400;0.038;final;-187.6942;0.0073;0.5698;0.0124;final;-108.140;0.153;-6.700;0.042;0.179;0.061;0.053;0.042
58876;2020;1;28;final;49.394;0.053;308.669;0.038;final;-188.3288;0.0073;0.6650;0.0124;final;-108.240;0.156;-6.719;0.042;0.183;0.062;0.045;0.042
58877;2020;1;29;final;48.387;0.053;310.117;0.038;final;-189.0555;0.0073;0.7281;0.0125;final;-108.360;0.156;-6.809;0.042;0.188;0.062;0.036;0.042
58878;2020;1;30;final;47.051;0.053;311.690;0.038;final;-189.8021;0.0073;0.7331;0.0125;final;-108.397;0.158;-6.930;0.042;0.192;0.063;0.028;0.042
58879;2020;1;31;final;45.723;0.053;312.908;0.039;final;-190.5245;0.0073;0.6996;0.0126;final;-108.267;0.158;-6.999;0.042;0.196;0.063;0.020;0.042
58880;2020;2;1;final;44.449;0.054;314.419;0.039;final;-191.1724;0.0074;0.5990;0.0127;final;-108.032;0.161;-6.957;0.043;0.215;0.064;0.031;0.043
58881;2020;2;2;prediction;43.497;0.054;316.013;0.039;prediction;-191.7210;0.0075;;;prediction;;;;;0.239;0.065;0.049;0.045
58882;2020;2;3;prediction;42.695;0.055;317.697;0.039;prediction;-192.1731;0.0077;;;prediction;;;;;0.264;0.066;0.067;0.048
