MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
59397;2021;7;2;final;206.921;0.026;418.137;0.019;final;-166.7352;0.0107;-0.7290;0.0068;final;-112.004;0.136;-9.464;0.054;0.195;0.054;-0.125;0.054
59398;2021;7;3;final;209.024;0.027;416.956;0.019;final;-166.0067;0.0108;-0.7956;0.0069;final;-112.140;0.133;-9.398;0.055;0.213;0.053;-0.118;0.055
59399;2021;7;4;final;211.331;0.027;415.811;0.020;final;-165.1797;0.0110;-0.8841;0.0069;final;-112.363;0.136;-9.373;0.056;0.234;0.054;-0.112;0.056
59400;2021;7;5;final;213.414;0.027;414.996;0.020;final;-164.2095;0.0111;-1.0197;0.0070;final;-112.694;0.138;-9.336;0.056;0.255;0.055;-0.106;0.056
59401;2021;7;6;final;215.650;0.026;414.027;0.019;final;-163.0892;0.0111;-1.1760;0.0068;final;-112.980;0.138;-9.377;0.057;0.276;0.055;-0.100;0.057
59402;2021;7;7;final;218.140;0.026;413.172;0.020;final;-161.8291;0.0109;-1.3002;0.0068;final;-113.113;0.141;-9.583;0.057;0.297;0.056;-0.094;0.057
59403;2021;7;8;final;220.214;0.026;412.138;0.019;final;-160.4574;0.0104;-1.4004;0.0068;final;-113.230;0.143;-9.877;0.058;0.276;0.057;-0.077;0.058
59404;2021;7;9;final;221.832;0.026;410.821;0.019;final;-159.0228;0.0103;-1.4520;0.0068;final;-113.321;0.143;-10.078;0.059;0.245;0.057;-0.059;0.059
59405;2021;7;10;final;223.600;0.026;409.097;0.020;final;-157.5892;0.0103;-1.4271;0.0068;final;-113.323;0.146;-10.077;0.059;0.240;0.058;-0.056;0.059
59406;2021;7;11;final;225.666;0.026;407.615;0.020;final;-156.2169;0.0103;-1.3154;0.0068;final;-113.312;0.148;-9.920;0.059;0.245;0.059;-0.060;0.059
59407;2021;7;12;final;227.521;0.026;406.499;0.020;final;-154.9674;0.0101;-1.1382;0.0069;final;-113.374;0.148;-9.766;0.058;0.250;0.059;-0.064;0.058
59408;2021;7;13;final;229.363;0.026;405.735;0.020;final;-153.8980;0.0098;-0.9647;0.0069;final;-113.495;0.151;-9.729;0.058;0.256;0.060;-0.067;0.058
59409;2021;7;14;final;230.852;0.026;405.177;0.020;final;-153.0567;0.0099;-0.7412;0.0069;final;-113.617;0.153;-9.794;0.059;0.239;0.061;-0.073;0.059
59410;2021;7;15;final;232.364;0.026;404.183;0.019;final;-152.4225;0.0109;-0.5190;0.0069;final;-113.614;0.156;-9.847;0.061;0.216;0.062;-0.080;0.061
59411;2021;7;16;final;233.932;0.026;403.085;0.019;final;-152.0045;0.0107;-0.3391;0.0069;final;-113.595;0.158;-9.787;0.063;0.193;0.063;-0.086;0.063
59412;2021;7;17;final;235.568;0.026;402.256;0.019;final;-151.7411;0.0110;-0.2516;0.0069;final;-113.759;0.158;-9.608;0.064;0.192;0.063;-0.098;0.064
59413;2021;7;18;final;236.938;0.027;401.571;0.019;final;-151.5176;0.0112;-0.2888;0.0070;final;-114.276;0.161;-9.388;0.065;0.197;0.064;-0.111;0.065
59414;2021;7;19;final;238.366;0.027;400.312;0.019;final;-151.1975;0.0114;-0.3898;0.0070;final;-115.015;0.163;-9.262;0.066;0.202;0.065;-0.125;0.066
59415;2021;7;20;final;239.941;0.027;398.929;0.019;final;-150.7114;0.0109;-0.5551;0.0070;final;-115.643;0.166;-9.312;0.067;0.207;0.066;-0.138;0.067
59416;2021;7;21;final;241.402;0.027;397.614;0.020;final;-150.0616;0.0113;-0.7199;0.0071;final;-115.876;0.168;-9.476;0.068;0.224;0.067;-0.143;0.068
59417;2021;7;22;final;242.550;0.027;396.349;0.019;final;-149.2653;0.0117;-0.8670;0.0070;final;-115.745;0.171;-9.604;0.070;0.244;0.068;-0.145;0.070
59418;2021;7;23;final;243.559;0.027;394.850;0.019;final;-148.3896;0.0116;-0.9224;0.0070;final;-115.468;0.173;-9.626;0.072;0.263;0.069;-0.148;0.072
59419;2021;7;24;final;244.504;0.028;393.363;0.020;final;-147.5216;0.0117;-0.8550;0.0070;final;-115.321;0.176;-9.619;0.073;0.241;0.070;-0.137;0.073
59420;2021;7;25;final;244.659;0.028;392.108;0.020;final;-146.7385;0.0119;-0.7245;0.0071;final;-115.265;0.178;-9.715;0.074;0.205;0.071;-0.120;0.074
59421;2021;7;26;final;244.282;0.028;390.818;0.020;final;-146.0743;0.0114;-0.6021;0.0071;final;-115.280;0.181;-9.873;0.075;0.168;0.072;-0.104;0.075
59422;2021;7;27;final;244.021;0.028;389.282;0.020;final;-145.5380;0.0110;-0.4795;0.0071;final;-115.457;0.184;-9.910;0.076;0.132;0.073;-0.087;0.076
59423;2021;7;28;final;243.957;0.028;387.023;0.020;final;-145.1164;0.0114;-0.4072;0.0071;final;-115.784;0.186;-9.750;0.076;0.131;0.074;-0.079;0.076
59424;2021;7;29;final;244.271;0.027;384.533;0.020;final;-144.7485;0.0125;-0.3704;0.0070;final;-116.221;0.189;-9.509;0.077;0.140;0.075;-0.073;0.077
59425;2021;7;30;final;245.054;0.027;382.456;0.020;final;-144.3684;0.0126;-0.4102;0.0070;final;-116.596;0.191;-9.367;0.078;0.149;0.076;-0.067;0.078
59426;2021;7;31;final;246.021;0.027;381.094;0.020;final;-143.9172;0.0128;-0.5170;0.0071;final;-116.756;0.194;-9.383;0.079;0.182;0.077;-0.083;0.079
59427;2021;8;1;final;246.780;0.027;380.162;0.020;final;-143.3541;0.0130;-0.6384;0.0071;final;-116.809;0.196;-9.429;0.079;0.223;0.078;-0.105;0.079
59428;2021;8;2;prediction;247.724;0.027;379.020;0.020;prediction;-142.6563;0.0131;;;prediction;;;;;0.264;0.079;-0.127;0.079
59429;2021;8;3;prediction;248.665;0.027;377.672;0.020;prediction;-141.8281;0.0125;;;prediction;;;;;0.305;0.080;-0.149;0.080
59430;2021;8;4;prediction;249.247;0.027;376.225;0.020;prediction;-140.8819;0.0134;;;prediction;;;;;0.295;0.082;-0.110;0.080
59431;2021;8;5;prediction;250.318;0.027;374.716;0.020;prediction;-139.8588;0.0130;;;prediction;;;;;0.272;0.083;-0.055;0.080
59432;2021;8;6;prediction;251.557;0.027;373.439;0.020;prediction;-138.8293;0.0125;;;prediction;;;;;0.256;0.084;-0.038;0.079
59433;2021;8;7;prediction;252.384;0.027;372.189;0.020;prediction;-137.7997;0.0125;;;prediction;;;;;0.244;0.085;-0.034;0.079
59434;2021;8;8;prediction;252.617;0.027;370.958;0.020;prediction;-136.7543;0.0124;;;prediction;;;;;0.231;0.086;-0.031;0.078
59435;2021;8;9;prediction;251.963;0.027;369.546;0.020;prediction;-135.8220;0.0123;;;prediction;;;;;0.219;0.087;-0.028;0.078
59436;2021;8;10;prediction;250.846;0.027;367.502;0.020;prediction;-135.0686;0.0121;;;prediction;;;;;0.206;0.088;-0.025;0.077
59437;2021;8;11;prediction;250.176;0.027;365.256;0.020;prediction;-134.5083;0.0120;;;prediction;;;;;0.194;0.089;-0.022;0.077
59438;2021;8;12;prediction;249.899;0.027;363.344;0.020;prediction;-134.1177;0.0120;;;prediction;;;;;0.182;0.090;-0.080;0.077
59439;2021;8;13;prediction;249.587;0.027;361.518;0.019;prediction;-133.8309;0.0120;;;prediction;;;;;0.169;0.091;-0.157;0.076
59440;2021;8;14;prediction;249.168;0.027;359.748;0.019;prediction;-133.5512;0.0120;;;prediction;;;;;0.179;0.092;-0.171;0.076
59441;2021;8;15;prediction;248.727;0.027;358.102;0.019;prediction;-133.1659;0.0120;;;prediction;;;;;0.195;0.094;-0.164;0.075
59442;2021;8;16;prediction;248.327;0.026;356.539;0.019;prediction;-132.5841;0.0120;;;prediction;;;;;0.212;0.095;-0.156;0.074
59443;2021;8;17;prediction;248.134;0.026;354.896;0.019;prediction;-131.7638;0.0120;;;prediction;;;;;0.229;0.096;-0.149;0.073
59444;2021;8;18;prediction;248.005;0.026;353.279;0.019;prediction;-130.7256;0.0119;;;prediction;;;;;0.246;0.097;-0.141;0.073
59445;2021;8;19;prediction;247.975;0.026;351.656;0.019;prediction;-129.5257;0.0123;;;prediction;;;;;0.309;0.099;-0.138;0.077
59446;2021;8;20;prediction;247.731;0.026;350.103;0.019;prediction;-128.3571;0.0127;;;prediction;;;;;0.385;0.101;-0.137;0.083
59447;2021;8;21;prediction;247.290;0.026;348.280;0.019;prediction;-127.2209;0.0133;;;prediction;;;;;0.396;0.500;-0.135;0.500
