MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58424;2018;11;2;final;183.144;0.053;295.254;0.040;final;18.3104;0.0167;1.1360;0.0128;final;-110.151;0.226;-9.078;0.105;0.346;0.090;0.164;0.105
58425;2018;11;3;final;182.231;0.054;293.548;0.040;final;17.1188;0.0167;1.2288;0.0129;final;-109.839;0.231;-8.918;0.109;0.359;0.092;0.153;0.109
58426;2018;11;4;final;181.200;0.053;292.497;0.039;final;15.8542;0.0167;1.2681;0.0125;final;-109.806;0.234;-8.779;0.113;0.371;0.093;0.142;0.113
58427;2018;11;5;final;180.114;0.053;291.721;0.039;final;14.5839;0.0167;1.2425;0.0122;final;-110.004;0.236;-8.766;0.116;0.383;0.094;0.131;0.116
58428;2018;11;6;final;179.336;0.054;291.078;0.039;final;13.3546;0.0167;1.2003;0.0122;final;-110.218;0.241;-8.883;0.120;0.395;0.096;0.121;0.120
58429;2018;11;7;final;178.247;0.027;290.503;0.022;final;12.2064;0.0102;1.1079;0.0064;final;-110.293;0.131;-8.891;0.049;0.392;0.052;0.248;0.049
58430;2018;11;8;final;177.661;0.028;289.421;0.022;final;11.1718;0.0101;0.9951;0.0064;final;-110.179;0.131;-8.798;0.048;0.385;0.052;0.410;0.048
58431;2018;11;9;final;177.501;0.028;288.243;0.022;final;10.2598;0.0101;0.8568;0.0064;final;-109.986;0.131;-8.641;0.048;0.378;0.052;0.572;0.048
58432;2018;11;10;final;176.916;0.028;286.977;0.022;final;9.4368;0.0100;0.7531;0.0064;final;-109.838;0.131;-8.679;0.046;0.357;0.052;0.543;0.046
58433;2018;11;11;final;175.896;0.028;285.895;0.023;final;8.7003;0.0099;0.6728;0.0064;final;-109.682;0.131;-8.816;0.045;0.330;0.052;0.443;0.045
58434;2018;11;12;final;174.771;0.028;284.813;0.023;final;8.0650;0.0099;0.6445;0.0064;final;-109.436;0.131;-8.921;0.043;0.304;0.052;0.344;0.043
58435;2018;11;13;final;173.670;0.028;283.804;0.023;final;7.3945;0.0098;0.6762;0.0064;final;-109.148;0.128;-8.931;0.042;0.278;0.051;0.244;0.042
58436;2018;11;14;final;172.446;0.028;282.819;0.023;final;6.7263;0.0097;0.7411;0.0064;final;-108.887;0.128;-8.797;0.041;0.278;0.051;0.215;0.041
58437;2018;11;15;final;171.170;0.028;281.693;0.023;final;5.9487;0.0097;0.8234;0.0064;final;-108.763;0.128;-8.667;0.040;0.286;0.051;0.204;0.040
58438;2018;11;16;final;169.491;0.028;280.662;0.023;final;5.0837;0.0096;0.8890;0.0064;final;-108.723;0.128;-8.633;0.040;0.293;0.051;0.193;0.040
58439;2018;11;17;final;168.053;0.028;279.704;0.023;final;4.1006;0.0096;1.0038;0.0064;final;-108.659;0.128;-8.676;0.039;0.301;0.051;0.163;0.039
58440;2018;11;18;final;167.032;0.028;279.192;0.023;final;3.0097;0.0096;1.1294;0.0064;final;-108.588;0.128;-8.663;0.039;0.308;0.051;0.128;0.039
58441;2018;11;19;final;166.027;0.029;278.644;0.023;final;1.8256;0.0095;1.2732;0.0064;final;-108.587;0.128;-8.490;0.038;0.316;0.051;0.092;0.038
58442;2018;11;20;final;164.954;0.029;278.351;0.023;final;0.4986;0.0095;1.3792;0.0064;final;-108.672;0.128;-8.178;0.038;0.323;0.051;0.056;0.038
58443;2018;11;21;final;163.866;0.029;278.087;0.023;final;-0.9270;0.0095;1.4208;0.0064;final;-108.943;0.128;-7.796;0.038;0.254;0.051;0.106;0.038
58444;2018;11;22;final;162.902;0.029;277.650;0.023;final;-2.2881;0.0095;1.3873;0.0064;final;-109.016;0.128;-7.656;0.037;0.232;0.051;0.121;0.037
58445;2018;11;23;final;161.893;0.029;277.324;0.023;final;-3.5216;0.0096;1.2594;0.0064;final;-108.956;0.128;-7.811;0.037;0.234;0.051;0.116;0.037
58446;2018;11;24;final;160.485;0.029;277.286;0.023;final;-4.8279;0.0096;1.1370;0.0064;final;-108.853;0.128;-8.104;0.037;0.236;0.051;0.111;0.037
58447;2018;11;25;final;159.235;0.029;277.088;0.023;final;-5.9396;0.0095;1.0245;0.0064;final;-108.704;0.128;-8.277;0.036;0.238;0.051;0.106;0.036
58448;2018;11;26;final;158.313;0.029;276.843;0.023;final;-6.8989;0.0095;0.9646;0.0064;final;-108.509;0.128;-8.182;0.036;0.240;0.051;0.101;0.036
58449;2018;11;27;final;156.839;0.029;276.929;0.023;final;-7.8603;0.0095;0.9866;0.0064;final;-108.308;0.128;-7.907;0.036;0.243;0.051;0.096;0.036
58450;2018;11;28;final;154.662;0.029;276.653;0.023;final;-8.8052;0.0095;1.0576;0.0064;final;-108.041;0.128;-7.661;0.036;0.287;0.051;0.100;0.036
58451;2018;11;29;final;152.520;0.029;276.037;0.023;final;-9.9245;0.0096;1.1629;0.0064;final;-107.771;0.128;-7.579;0.037;0.341;0.051;0.106;0.037
58452;2018;11;30;final;150.617;0.029;275.171;0.023;final;-11.1764;0.0097;1.2872;0.0064;final;-107.491;0.131;-7.621;0.037;0.396;0.052;0.111;0.037
58453;2018;12;1;final;148.545;0.029;274.297;0.023;final;-12.4672;0.0098;1.3259;0.0065;final;-107.354;0.131;-7.660;0.038;0.406;0.052;0.144;0.038
58454;2018;12;2;prediction;146.165;0.030;273.477;0.023;prediction;-13.7723;0.0099;;;prediction;;;;;0.398;0.052;0.186;0.039
58455;2018;12;3;prediction;143.728;0.030;272.865;0.023;prediction;-15.0280;0.0099;;;prediction;;;;;0.390;0.052;0.228;0.040
58456;2018;12;4;prediction;141.904;0.030;272.283;0.023;prediction;-16.1564;0.0100;;;prediction;;;;;0.383;0.053;0.270;0.041
58457;2018;12;5;prediction;139.787;0.030;272.049;0.023;prediction;-17.0186;0.0101;;;prediction;;;;;0.341;0.053;0.239;0.041
58458;2018;12;6;prediction;137.233;0.030;271.836;0.023;prediction;-17.7054;0.0101;;;prediction;;;;;0.290;0.053;0.189;0.042
58459;2018;12;7;prediction;134.756;0.030;271.474;0.023;prediction;-18.2866;0.0101;;;prediction;;;;;0.239;0.054;0.140;0.043
58460;2018;12;8;prediction;132.951;0.030;271.003;0.023;prediction;-18.7402;0.0102;;;prediction;;;;;0.259;0.054;0.114;0.043
58461;2018;12;9;prediction;131.770;0.030;270.827;0.023;prediction;-19.1711;0.0103;;;prediction;;;;;0.306;0.054;0.098;0.044
58462;2018;12;10;prediction;130.331;0.030;271.028;0.023;prediction;-19.5478;0.0104;;;prediction;;;;;0.353;0.055;0.082;0.045
58463;2018;12;11;prediction;128.674;0.030;271.124;0.023;prediction;-19.9394;0.0104;;;prediction;;;;;0.399;0.055;0.065;0.045
58464;2018;12;12;prediction;126.883;0.030;271.008;0.023;prediction;-20.3401;0.0106;;;prediction;;;;;0.414;0.056;0.062;0.047
58465;2018;12;13;prediction;124.774;0.030;270.488;0.024;prediction;-20.9019;0.0108;;;prediction;;;;;0.420;0.056;0.062;0.050
58466;2018;12;14;prediction;123.158;0.030;270.008;0.024;prediction;-21.5393;0.0110;;;prediction;;;;;0.426;0.057;0.062;0.052
58467;2018;12;15;prediction;121.090;0.030;269.595;0.024;prediction;-22.2342;0.0113;;;prediction;;;;;0.000;0.057;0.000;0.055
58468;2018;12;16;prediction;119.240;0.031;268.974;0.024;prediction;-23.0712;0.0115;;;prediction;;;;;0.000;0.058;0.000;0.057
58469;2018;12;17;prediction;117.498;0.031;268.465;0.024;prediction;-23.9786;0.0118;;;prediction;;;;;0.000;0.058;0.000;0.059
58470;2018;12;18;prediction;115.409;0.031;268.062;0.025;prediction;-24.9968;0.0120;;;prediction;;;;;0.000;0.059;0.000;0.060
58471;2018;12;19;prediction;113.285;0.032;267.406;0.025;prediction;-26.0067;0.0123;;;prediction;;;;;0.000;0.060;0.000;0.062
58472;2018;12;20;prediction;111.671;0.032;267.023;0.025;prediction;-26.9267;0.0125;;;prediction;;;;;0.000;0.060;0.000;0.063
58473;2018;12;21;prediction;109.915;0.032;266.752;0.026;prediction;-27.7015;0.0128;;;prediction;;;;;0.000;0.060;0.000;0.064
58474;2018;12;22;prediction;107.841;0.033;266.566;0.026;prediction;-28.2795;0.0130;;;prediction;;;;;0.000;0.061;0.000;0.065
58475;2018;12;23;prediction;105.778;0.033;266.539;0.026;prediction;-28.7035;0.0133;;;prediction;;;;;0.000;0.061;0.000;0.066
58476;2018;12;24;prediction;103.570;0.033;266.566;0.027;prediction;-29.1912;0.0135;;;prediction;;;;;0.000;0.062;0.000;0.067
58477;2018;12;25;prediction;101.361;0.034;266.759;0.028;prediction;-29.6972;0.0138;;;prediction;;;;;0.000;0.062;0.000;0.068
58478;2018;12;26;prediction;99.214;0.034;267.318;0.028;prediction;-30.3255;0.0141;;;prediction;;;;;0.000;0.062;0.000;0.068
58479;2018;12;27;prediction;97.280;0.034;268.055;0.029;prediction;-31.1262;0.0145;;;prediction;;;;;0.000;0.063;0.000;0.069
58480;2018;12;28;prediction;95.429;0.035;268.915;0.030;prediction;-32.0427;0.0148;;;prediction;;;;;0.000;0.063;0.000;0.069
58481;2018;12;29;prediction;93.302;0.035;269.788;0.031;prediction;-33.1265;0.0151;;;prediction;;;;;0.000;0.063;0.000;0.070
58482;2018;12;30;prediction;90.849;0.036;270.410;0.031;prediction;-34.1998;0.0155;;;prediction;;;;;0.000;0.064;0.000;0.070
58483;2018;12;31;prediction;88.435;0.037;270.751;0.032;prediction;-35.2252;0.0159;;;prediction;;;;;0.000;0.064;0.000;0.071
58484;2019;1;1;prediction;86.369;0.038;271.113;0.033;prediction;-36.2059;0.0164;;;prediction;;;;;0.000;0.064;0.000;0.071
