MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
57998;2017;9;2;final;236.028;0.062;355.000;0.046;final;336.2105;0.0062;0.1463;0.0138;final;-110.974;0.103;-12.176;0.035;0.139;0.041;0.228;0.035
57999;2017;9;3;final;236.808;0.061;353.230;0.046;final;336.0602;0.0064;0.2014;0.0136;final;-111.138;0.103;-12.353;0.035;0.152;0.041;0.208;0.035
58000;2017;9;4;final;237.536;0.061;351.605;0.046;final;335.8088;0.0068;0.3011;0.0137;final;-111.166;0.106;-12.502;0.036;0.165;0.042;0.188;0.036
58001;2017;9;5;final;237.920;0.062;350.129;0.046;final;335.4129;0.0071;0.4775;0.0137;final;-111.055;0.106;-12.478;0.036;0.177;0.042;0.168;0.036
58002;2017;9;6;final;238.534;0.062;348.089;0.046;final;334.8353;0.0075;0.6648;0.0138;final;-110.928;0.108;-12.265;0.036;0.190;0.043;0.149;0.036
58003;2017;9;7;final;239.949;0.062;346.217;0.046;final;334.0753;0.0047;0.8328;0.0138;final;-111.002;0.106;-11.981;0.035;0.166;0.042;0.156;0.035
58004;2017;9;8;final;241.033;0.062;344.387;0.046;final;333.1783;0.0043;0.9041;0.0138;final;-111.199;0.098;-11.820;0.033;0.131;0.039;0.170;0.033
58005;2017;9;9;final;241.460;0.062;342.815;0.046;final;332.2057;0.0042;0.9404;0.0139;final;-111.301;0.098;-11.889;0.034;0.128;0.039;0.143;0.034
58006;2017;9;10;final;241.406;0.061;341.734;0.045;final;331.2427;0.0040;0.9249;0.0136;final;-111.304;0.093;-12.065;0.032;0.137;0.037;0.101;0.032
58007;2017;9;11;final;241.149;0.061;340.693;0.045;final;330.3474;0.0038;0.8592;0.0137;final;-111.308;0.093;-12.193;0.032;0.145;0.037;0.059;0.032
58008;2017;9;12;final;240.712;0.061;339.184;0.045;final;329.5616;0.0034;0.7488;0.0137;final;-111.412;0.093;-12.229;0.032;0.154;0.037;0.017;0.032
58009;2017;9;13;final;239.490;0.061;337.433;0.046;final;328.8956;0.0032;0.6369;0.0138;final;-111.625;0.096;-12.177;0.032;0.161;0.038;0.050;0.032
