MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58605;2019;5;2;final;74.216;0.042;412.141;0.029;final;-149.6023;0.0067;1.0507;0.0094;final;-103.857;0.085;-11.023;0.030;0.099;0.034;-0.216;0.030
58606;2019;5;3;final;75.847;0.042;412.864;0.029;final;-150.6622;0.0066;1.0023;0.0094;final;-104.203;0.085;-10.943;0.030;0.082;0.034;-0.232;0.030
58607;2019;5;4;final;76.746;0.042;413.367;0.029;final;-151.6396;0.0066;0.9372;0.0095;final;-104.409;0.088;-11.030;0.030;0.071;0.035;-0.241;0.030
58608;2019;5;5;final;77.564;0.042;413.858;0.028;final;-152.5399;0.0066;0.8497;0.0093;final;-104.469;0.085;-11.279;0.031;0.062;0.034;-0.250;0.031
58609;2019;5;6;final;78.131;0.042;414.792;0.028;final;-153.3570;0.0066;0.7607;0.0093;final;-104.441;0.085;-11.563;0.031;0.053;0.034;-0.256;0.031
58610;2019;5;7;final;78.967;0.042;415.625;0.028;final;-154.0793;0.0066;0.6757;0.0093;final;-104.449;0.085;-11.743;0.027;0.044;0.034;-0.256;0.027
58611;2019;5;8;final;80.111;0.042;416.276;0.029;final;-154.7104;0.0066;0.5839;0.0093;final;-104.607;0.088;-11.788;0.027;0.035;0.035;-0.262;0.027
58612;2019;5;9;final;81.678;0.042;416.736;0.029;final;-155.2848;0.0066;0.5478;0.0093;final;-104.834;0.088;-11.729;0.027;0.042;0.035;-0.240;0.027
58613;2019;5;10;final;83.198;0.042;417.395;0.029;final;-155.8351;0.0066;0.5435;0.0093;final;-104.930;0.088;-11.686;0.027;0.054;0.035;-0.210;0.027
58614;2019;5;11;final;84.358;0.042;418.035;0.029;final;-156.4141;0.0067;0.6254;0.0093;final;-104.700;0.088;-11.724;0.027;0.058;0.035;-0.212;0.027
58615;2019;5;12;final;85.071;0.042;418.630;0.029;final;-157.1147;0.0067;0.7676;0.0092;final;-104.136;0.088;-11.749;0.027;0.060;0.035;-0.225;0.027
58616;2019;5;13;final;85.813;0.042;418.754;0.029;final;-157.9536;0.0067;0.9279;0.0093;final;-103.536;0.088;-11.660;0.027;0.062;0.035;-0.240;0.027
58617;2019;5;14;final;86.600;0.042;419.108;0.029;final;-158.9774;0.0068;1.1158;0.0092;final;-103.279;0.090;-11.465;0.028;0.064;0.036;-0.252;0.028
58618;2019;5;15;final;87.514;0.042;419.659;0.029;final;-160.1841;0.0068;1.2695;0.0092;final;-103.577;0.093;-11.264;0.028;0.051;0.037;-0.236;0.028
58619;2019;5;16;final;88.999;0.042;420.446;0.029;final;-161.4640;0.0069;1.2897;0.0092;final;-104.247;0.093;-11.205;0.028;0.034;0.037;-0.213;0.028
58620;2019;5;17;final;90.613;0.042;421.097;0.029;final;-162.7193;0.0069;1.2090;0.0092;final;-104.947;0.096;-11.274;0.031;0.010;0.038;-0.175;0.031
58621;2019;5;18;final;92.152;0.043;421.974;0.029;final;-163.7982;0.0070;0.9581;0.0091;final;-105.321;0.093;-11.424;0.030;0.007;0.037;-0.204;0.030
58622;2019;5;19;final;93.282;0.042;422.813;0.029;final;-164.6108;0.0070;0.6955;0.0090;final;-105.380;0.093;-11.480;0.030;-0.002;0.037;-0.236;0.030
58623;2019;5;20;final;94.326;0.042;423.729;0.029;final;-165.2087;0.0070;0.4967;0.0090;final;-105.263;0.096;-11.457;0.030;-0.011;0.038;-0.267;0.030
58624;2019;5;21;final;95.131;0.042;424.424;0.029;final;-165.6005;0.0070;0.3204;0.0090;final;-105.180;0.096;-11.463;0.031;-0.021;0.038;-0.299;0.031
