MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58210;2018;4;2;final;33.078;0.074;396.270;0.046;final;132.7392;0.0352;1.2839;0.0146;final;-102.192;0.375;-11.676;0.154;0.008;0.149;-0.157;0.154
58211;2018;4;3;final;33.726;0.077;398.187;0.046;final;131.5362;0.0261;1.1210;0.0150;final;-102.333;0.380;-11.540;0.158;0.001;0.151;-0.156;0.158
58212;2018;4;4;final;34.053;0.078;400.233;0.046;final;130.4929;0.0279;0.9570;0.0149;final;-102.585;0.385;-11.424;0.162;-0.006;0.153;-0.155;0.162
58213;2018;4;5;final;34.315;0.077;402.096;0.045;final;129.6219;0.0574;0.7920;0.0149;final;-102.905;0.387;-11.448;0.165;-0.012;0.154;-0.153;0.165
58214;2018;4;6;final;34.383;0.069;403.888;0.050;final;128.8647;0.0348;0.6835;0.0148;final;-103.147;0.392;-11.600;0.169;-0.019;0.156;-0.152;0.169
58215;2018;4;7;final;34.304;0.054;405.470;0.043;final;128.1798;0.0332;0.6690;0.0124;final;-103.074;0.214;-11.801;0.090;0.005;0.085;-0.181;0.090
58216;2018;4;8;final;34.814;0.058;407.120;0.039;final;127.6036;0.0324;0.6626;0.0125;final;-102.731;0.246;-11.911;0.100;0.021;0.098;-0.187;0.100
58217;2018;4;9;final;35.585;0.057;408.611;0.039;final;126.9125;0.0298;0.6681;0.0124;final;-102.190;0.282;-11.949;0.110;0.038;0.112;-0.193;0.110
58218;2018;4;10;final;36.758;0.055;410.135;0.038;final;126.1538;0.0303;0.6805;0.0121;final;-101.652;0.314;-11.963;0.119;0.055;0.125;-0.200;0.119
58219;2018;4;11;final;37.937;0.052;411.910;0.038;final;125.3817;0.0211;0.7539;0.0117;final;-101.367;0.314;-11.947;0.120;0.048;0.125;-0.185;0.120
58220;2018;4;12;final;38.729;0.052;413.822;0.037;final;124.6659;0.0095;0.8512;0.0116;final;-101.365;0.304;-11.883;0.119;0.035;0.121;-0.164;0.119
58221;2018;4;13;final;38.891;0.051;415.750;0.037;final;123.7297;0.0125;0.9701;0.0118;final;-101.564;0.194;-11.725;0.071;0.017;0.077;-0.133;0.071
58222;2018;4;14;final;39.901;0.054;417.161;0.038;final;122.7277;0.0136;1.1177;0.0123;final;-101.714;0.201;-11.505;0.079;0.028;0.080;-0.099;0.079
58223;2018;4;15;final;41.810;0.060;418.839;0.039;final;121.5488;0.0135;1.2640;0.0134;final;-101.745;0.229;-11.335;0.097;0.048;0.091;-0.061;0.097
58224;2018;4;16;final;44.022;0.060;420.295;0.039;final;120.2000;0.0145;1.3772;0.0134;final;-101.703;0.256;-11.343;0.115;0.067;0.102;-0.023;0.115
58225;2018;4;17;final;45.901;0.058;421.593;0.039;final;118.8225;0.0160;1.3269;0.0133;final;-101.710;0.284;-11.558;0.133;0.087;0.113;0.014;0.133
58226;2018;4;18;final;47.414;0.056;422.322;0.038;final;117.6302;0.0202;1.1790;0.0130;final;-102.009;0.274;-11.892;0.130;0.049;0.109;0.018;0.130
58227;2018;4;19;final;49.409;0.053;423.167;0.038;final;116.5751;0.0250;1.0522;0.0121;final;-102.458;0.254;-12.131;0.121;-0.004;0.101;0.013;0.121
58228;2018;4;20;final;51.700;0.052;424.507;0.037;final;115.4465;0.0143;0.9750;0.0121;final;-102.893;0.231;-12.164;0.112;-0.057;0.092;0.008;0.112
58229;2018;4;21;final;53.949;0.054;426.011;0.038;final;114.4468;0.0103;0.9481;0.0124;final;-103.034;0.236;-12.076;0.109;-0.051;0.094;-0.020;0.109
58230;2018;4;22;final;56.126;0.054;427.544;0.039;final;113.5646;0.0086;0.9773;0.0124;final;-102.881;0.251;-11.995;0.109;-0.022;0.100;-0.057;0.109
58231;2018;4;23;final;57.956;0.054;429.171;0.039;final;112.5549;0.0137;1.0753;0.0123;final;-102.461;0.264;-11.991;0.109;0.008;0.105;-0.094;0.109
58232;2018;4;24;final;59.869;0.056;430.738;0.039;final;111.3640;0.0227;1.2418;0.0124;final;-101.867;0.279;-12.033;0.110;0.037;0.111;-0.132;0.110
58233;2018;4;25;final;61.417;0.054;432.190;0.038;final;110.0503;0.0166;1.3921;0.0120;final;-101.455;0.259;-11.971;0.106;0.007;0.103;-0.073;0.106
58234;2018;4;26;final;62.620;0.055;433.035;0.039;final;108.6112;0.0089;1.4991;0.0113;final;-101.347;0.229;-11.873;0.101;-0.038;0.091;0.011;0.101
58235;2018;4;27;final;63.634;0.054;433.950;0.038;final;107.0990;0.0111;1.5215;0.0108;final;-101.597;0.199;-11.800;0.097;-0.083;0.079;0.094;0.097
58236;2018;4;28;final;64.942;0.056;434.758;0.039;final;105.5150;0.0177;1.5116;0.0110;final;-101.967;0.196;-11.836;0.096;-0.090;0.078;0.091;0.096
58237;2018;4;29;final;66.329;0.058;435.741;0.039;final;104.0683;0.0143;1.4270;0.0116;final;-102.259;0.204;-11.881;0.097;-0.082;0.081;0.056;0.097
58238;2018;4;30;final;67.597;0.057;436.693;0.039;final;102.7754;0.0105;1.2534;0.0116;final;-102.374;0.209;-11.867;0.098;-0.074;0.083;0.021;0.098
58239;2018;5;1;final;68.767;0.059;437.658;0.039;final;101.6289;0.0135;1.0905;0.0110;final;-102.398;0.216;-11.824;0.099;-0.066;0.086;-0.014;0.099
58240;2018;5;2;prediction;69.517;0.059;438.842;0.039;prediction;100.6152;0.0176;;;prediction;;;;;-0.058;0.089;-0.050;0.100
58241;2018;5;3;prediction;70.351;0.058;439.379;0.038;prediction;99.7191;0.0180;;;prediction;;;;;-0.050;0.091;-0.085;0.101
58242;2018;5;4;prediction;71.437;0.055;439.852;0.038;prediction;98.9345;0.0155;;;prediction;;;;;-0.042;0.094;-0.120;0.102
58243;2018;5;5;prediction;72.187;0.055;440.337;0.038;prediction;98.2141;0.0131;;;prediction;;;;;0.000;0.077;0.000;0.080
58244;2018;5;6;prediction;73.186;0.054;441.120;0.039;prediction;97.5498;0.0111;;;prediction;;;;;0.000;0.070;0.000;0.071
58245;2018;5;7;prediction;74.057;0.053;441.970;0.039;prediction;96.9264;0.0083;;;prediction;;;;;0.000;0.070;0.000;0.071
58246;2018;5;8;prediction;75.292;0.052;442.800;0.038;prediction;96.3047;0.0175;;;prediction;;;;;0.000;0.070;0.000;0.071
58247;2018;5;9;prediction;76.496;0.052;443.808;0.037;prediction;95.5262;0.0099;;;prediction;;;;;0.000;0.070;0.000;0.071
58248;2018;5;10;prediction;77.861;0.054;444.671;0.038;prediction;94.6515;0.0158;;;prediction;;;;;0.000;0.070;0.000;0.071
58249;2018;5;11;prediction;78.929;0.054;445.378;0.038;prediction;93.4745;0.0331;;;prediction;;;;;0.000;0.070;0.000;0.071
58250;2018;5;12;prediction;80.599;0.056;445.330;0.038;prediction;92.6296;0.0123;;;prediction;;;;;0.000;0.070;0.000;0.071
58251;2018;5;13;prediction;83.074;0.058;445.186;0.039;prediction;91.5107;0.0125;;;prediction;;;;;0.000;0.070;0.000;0.071
58252;2018;5;14;prediction;85.122;0.059;445.123;0.039;prediction;90.5301;0.0208;;;prediction;;;;;0.000;0.070;0.000;0.071
58253;2018;5;15;prediction;87.500;0.058;445.193;0.039;prediction;89.3981;0.0141;;;prediction;;;;;0.000;0.070;0.000;0.071
58254;2018;5;16;prediction;89.692;0.027;445.480;0.025;prediction;88.6124;0.0125;;;prediction;;;;;-0.065;0.035;-0.148;0.033
58255;2018;5;17;prediction;91.851;0.026;445.691;0.024;prediction;87.7895;0.0136;;;prediction;;;;;-0.092;0.033;-0.135;0.031
58256;2018;5;18;prediction;94.050;0.024;446.232;0.023;prediction;87.1517;0.0102;;;prediction;;;;;-0.120;0.031;-0.122;0.030
58257;2018;5;19;prediction;95.695;0.028;446.918;0.023;prediction;86.6309;0.0167;;;prediction;;;;;0.000;0.087;0.000;0.084
58258;2018;5;20;prediction;97.035;0.028;447.455;0.017;prediction;86.0616;0.0168;;;prediction;;;;;0.000;0.108;0.000;0.105
58259;2018;5;21;prediction;98.160;0.032;447.722;0.021;prediction;85.4487;0.0235;;;prediction;;;;;0.000;0.108;0.000;0.105
58260;2018;5;22;prediction;99.221;0.036;447.696;0.025;prediction;84.7055;0.0208;;;prediction;;;;;0.000;0.108;0.000;0.105
58261;2018;5;23;prediction;100.778;0.038;447.766;0.025;prediction;83.7188;0.0147;;;prediction;;;;;0.000;0.108;0.000;0.105
58262;2018;5;24;prediction;102.585;0.034;447.799;0.029;prediction;82.6948;0.0156;;;prediction;;;;;0.000;0.108;0.000;0.105
58263;2018;5;25;prediction;104.503;0.031;447.916;0.028;prediction;81.7247;0.0123;;;prediction;;;;;0.000;0.108;0.000;0.105
58264;2018;5;26;prediction;106.048;0.035;447.971;0.026;prediction;80.6867;0.0141;;;prediction;;;;;0.000;0.108;0.000;0.105
58265;2018;5;27;prediction;107.475;0.036;447.727;0.026;prediction;79.7121;0.0127;;;prediction;;;;;0.000;0.108;0.000;0.105
58266;2018;5;28;prediction;109.075;0.030;447.431;0.025;prediction;78.9685;0.0180;;;prediction;;;;;0.000;0.108;0.000;0.105
58267;2018;5;29;prediction;110.663;0.025;447.253;0.026;prediction;78.2822;0.0189;;;prediction;;;;;0.000;0.108;0.000;0.105
58268;2018;5;30;prediction;112.160;0.029;447.191;0.030;prediction;77.7807;0.0183;;;prediction;;;;;0.000;0.108;0.000;0.105
58269;2018;5;31;prediction;113.227;0.031;447.160;0.030;prediction;77.3374;0.0187;;;prediction;;;;;0.000;0.108;0.000;0.105
58270;2018;6;1;prediction;114.240;0.036;446.926;0.029;prediction;77.0981;0.0188;;;prediction;;;;;0.000;0.108;0.000;0.105
