MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
59216;2021;1;2;final;67.783;0.074;305.455;0.073;final;-174.8394;0.0105;-0.4419;0.0077;final;-109.207;0.204;-5.801;0.163;0.066;0.081;0.106;0.163
59217;2021;1;3;final;66.068;0.074;306.714;0.072;final;-174.4761;0.0104;-0.2389;0.0077;final;-108.905;0.204;-5.788;0.160;0.098;0.081;0.093;0.160
59218;2021;1;4;final;63.906;0.074;307.809;0.071;final;-174.3246;0.0103;-0.0472;0.0076;final;-108.696;0.206;-5.815;0.157;0.129;0.082;0.079;0.157
59219;2021;1;5;final;61.685;0.073;308.623;0.069;final;-174.3819;0.0102;0.1362;0.0076;final;-108.543;0.206;-5.819;0.154;0.161;0.082;0.066;0.154
59220;2021;1;6;final;60.391;0.072;309.503;0.067;final;-174.6023;0.0101;0.2499;0.0076;final;-108.462;0.209;-5.682;0.151;0.217;0.083;0.116;0.151
59221;2021;1;7;final;59.466;0.071;310.304;0.066;final;-174.8751;0.0100;0.2552;0.0075;final;-108.581;0.209;-5.464;0.148;0.280;0.083;0.184;0.148
59222;2021;1;8;final;59.005;0.070;311.054;0.065;final;-175.0757;0.0099;0.1439;0.0075;final;-108.877;0.209;-5.271;0.145;0.343;0.083;0.251;0.145
59223;2021;1;9;final;58.270;0.069;311.975;0.063;final;-175.0823;0.0097;-0.0968;0.0074;final;-109.379;0.209;-5.254;0.140;0.324;0.083;0.251;0.140
59224;2021;1;10;final;58.057;0.068;313.002;0.062;final;-174.8654;0.0096;-0.3119;0.0074;final;-109.768;0.209;-5.367;0.135;0.274;0.083;0.224;0.135
59225;2021;1;11;final;57.636;0.067;314.178;0.060;final;-174.4765;0.0094;-0.4727;0.0073;final;-109.894;0.211;-5.482;0.130;0.223;0.084;0.197;0.130
59226;2021;1;12;final;57.033;0.065;314.438;0.059;final;-173.9724;0.0093;-0.5349;0.0073;final;-109.829;0.211;-5.535;0.126;0.172;0.084;0.171;0.126
59227;2021;1;13;final;56.028;0.028;315.487;0.024;final;-173.4272;0.0099;-0.5343;0.0072;final;-109.447;0.214;-5.630;0.126;0.217;0.085;0.094;0.126
59228;2021;1;14;final;54.873;0.025;316.051;0.020;final;-172.9081;0.0102;-0.4820;0.0064;final;-108.989;0.216;-5.826;0.127;0.286;0.086;0.004;0.127
59229;2021;1;15;final;54.335;0.024;316.875;0.020;final;-172.4606;0.0114;-0.4365;0.0064;final;-108.538;0.219;-6.095;0.128;0.356;0.087;-0.087;0.128
