MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58941;2020;4;2;final;52.653;0.052;403.240;0.037;final;-225.4211;0.0053;0.3060;0.0127;final;-106.337;0.148;-9.751;0.042;-0.033;0.059;-0.044;0.042
58942;2020;4;3;final;54.027;0.052;405.231;0.037;final;-225.8088;0.0054;0.4711;0.0127;final;-106.318;0.151;-9.843;0.043;-0.047;0.060;-0.080;0.043
58943;2020;4;4;final;54.964;0.052;406.848;0.037;final;-226.4201;0.0056;0.7577;0.0128;final;-106.309;0.153;-10.097;0.044;-0.042;0.061;-0.057;0.044
58944;2020;4;5;final;55.428;0.052;407.980;0.037;final;-227.3265;0.0057;1.0730;0.0125;final;-106.014;0.151;-10.329;0.044;-0.030;0.060;-0.013;0.044
58945;2020;4;6;final;55.966;0.053;408.880;0.037;final;-228.5432;0.0057;1.3584;0.0125;final;-105.467;0.151;-10.260;0.044;-0.018;0.060;0.032;0.044
58946;2020;4;7;final;56.183;0.053;409.449;0.037;final;-230.0159;0.0058;1.5401;0.0125;final;-105.152;0.151;-9.931;0.045;-0.006;0.060;0.077;0.045
58947;2020;4;8;final;56.906;0.053;409.913;0.037;final;-231.6246;0.0059;1.6364;0.0126;final;-105.495;0.153;-9.729;0.046;-0.029;0.061;0.058;0.046
58948;2020;4;9;final;57.714;0.053;411.016;0.037;final;-233.2083;0.0060;1.5201;0.0126;final;-106.188;0.156;-9.772;0.046;-0.060;0.062;0.022;0.046
58949;2020;4;10;final;58.140;0.053;412.006;0.036;final;-234.6158;0.0060;1.2941;0.0127;final;-106.661;0.156;-9.853;0.046;-0.072;0.062;0.032;0.046
58950;2020;4;11;final;58.541;0.053;412.979;0.036;final;-235.7568;0.0060;0.9873;0.0127;final;-106.688;0.148;-9.859;0.044;-0.076;0.059;0.059;0.044
58951;2020;4;12;final;59.089;0.052;413.985;0.036;final;-236.6150;0.0060;0.7077;0.0125;final;-106.395;0.148;-9.893;0.044;-0.080;0.059;0.086;0.044
58952;2020;4;13;final;59.763;0.052;415.408;0.036;final;-237.2105;0.0060;0.4790;0.0125;final;-106.074;0.151;-10.065;0.043;-0.084;0.060;0.113;0.043
58953;2020;4;14;final;60.958;0.052;416.729;0.036;final;-237.5994;0.0060;0.3122;0.0125;final;-105.997;0.151;-10.276;0.043;-0.087;0.060;0.140;0.043
58954;2020;4;15;final;62.096;0.052;418.082;0.036;final;-237.8589;0.0059;0.1702;0.0126;final;-106.194;0.153;-10.334;0.043;-0.091;0.061;0.167;0.043
58955;2020;4;16;final;62.913;0.053;419.660;0.036;final;-238.0460;0.0060;0.1722;0.0126;final;-106.147;0.156;-10.314;0.044;-0.006;0.062;0.081;0.044
58956;2020;4;17;final;63.849;0.053;421.394;0.036;final;-238.2560;0.0061;0.2674;0.0127;final;-105.721;0.156;-10.262;0.045;0.103;0.062;-0.036;0.045
58957;2020;4;18;final;64.558;0.053;422.987;0.036;final;-238.5852;0.0062;0.4043;0.0127;final;-105.310;0.153;-10.101;0.045;0.102;0.061;-0.020;0.045
58958;2020;4;19;final;64.398;0.053;424.255;0.036;final;-239.0202;0.0062;0.4905;0.0125;final;-105.089;0.151;-9.875;0.046;0.059;0.060;0.044;0.046
58959;2020;4;20;final;63.813;0.053;425.119;0.036;final;-239.5002;0.0063;0.4897;0.0126;final;-105.192;0.153;-9.577;0.047;0.017;0.061;0.109;0.047
58960;2020;4;21;final;63.199;0.053;425.896;0.036;final;-239.9975;0.0065;0.4841;0.0126;final;-105.537;0.156;-9.289;0.049;-0.025;0.062;0.173;0.049
58961;2020;4;22;final;63.315;0.053;426.486;0.036;final;-240.5026;0.0065;0.4852;0.0127;final;-105.676;0.153;-9.319;0.049;0.012;0.061;0.088;0.049
58962;2020;4;23;final;64.228;0.053;427.345;0.036;final;-240.9715;0.0067;0.4597;0.0127;final;-105.598;0.156;-9.615;0.050;0.072;0.062;-0.038;0.050
