MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
59247;2021;2;2;final;49.490;0.027;341.692;0.022;final;-167.5614;0.0125;0.6019;0.0073;final;-108.292;0.209;-6.165;0.073;0.115;0.083;0.032;0.073
59248;2021;2;3;final;49.274;0.027;343.178;0.022;final;-168.1920;0.0128;0.6439;0.0073;final;-108.630;0.211;-6.177;0.075;0.107;0.084;0.061;0.075
59249;2021;2;4;final;49.231;0.027;344.351;0.022;final;-168.8000;0.0128;0.5490;0.0073;final;-108.983;0.214;-6.111;0.078;0.117;0.085;0.097;0.078
59250;2021;2;5;final;49.262;0.027;345.628;0.022;final;-169.2802;0.0129;0.3550;0.0073;final;-109.304;0.216;-6.001;0.082;0.126;0.086;0.132;0.082
59251;2021;2;6;final;49.156;0.027;346.983;0.022;final;-169.6139;0.0129;0.1374;0.0073;final;-109.483;0.221;-5.921;0.084;0.140;0.088;0.158;0.084
59252;2021;2;7;final;49.075;0.027;348.358;0.021;final;-169.6850;0.0131;-0.0406;0.0074;final;-109.454;0.224;-5.901;0.086;0.156;0.089;0.180;0.086
59253;2021;2;8;final;49.311;0.027;349.885;0.021;final;-169.4924;0.0126;-0.1406;0.0072;final;-109.221;0.226;-5.926;0.088;0.172;0.090;0.202;0.088
59254;2021;2;9;final;49.922;0.027;351.343;0.021;final;-169.3373;0.0127;-0.1271;0.0072;final;-108.874;0.229;-5.989;0.090;0.188;0.091;0.224;0.090
59255;2021;2;10;final;50.607;0.026;352.626;0.021;final;-169.2436;0.0126;-0.0444;0.0073;final;-108.510;0.231;-6.178;0.092;0.222;0.092;0.170;0.092
59256;2021;2;11;final;51.207;0.026;353.801;0.021;final;-169.2657;0.0131;0.0908;0.0073;final;-108.257;0.234;-6.433;0.093;0.261;0.093;0.095;0.093
