MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58028;2017;10;2;final;222.819;0.061;300.646;0.046;final;314.5385;0.0200;0.6786;0.0135;final;-109.641;0.116;-12.054;0.038;0.279;0.046;0.109;0.038
58029;2017;10;3;final;222.129;0.061;298.414;0.046;final;313.7541;0.0210;0.8123;0.0135;final;-109.497;0.116;-11.994;0.038;0.296;0.046;0.100;0.038
58030;2017;10;4;final;221.797;0.061;296.685;0.046;final;312.8569;0.0219;0.9580;0.0135;final;-109.380;0.118;-11.702;0.038;0.296;0.047;0.093;0.038
58031;2017;10;5;final;221.944;0.061;294.777;0.046;final;311.8340;0.0210;1.0656;0.0135;final;-109.286;0.138;-11.301;0.036;0.292;0.055;0.087;0.036
58032;2017;10;6;final;221.694;0.061;293.830;0.046;final;310.7054;0.0162;1.1534;0.0135;final;-109.232;0.138;-11.030;0.036;0.288;0.055;0.080;0.036
58033;2017;10;7;final;220.172;0.061;293.025;0.046;final;309.5459;0.0159;1.1747;0.0135;final;-109.284;0.138;-11.048;0.036;0.273;0.055;0.076;0.036
58034;2017;10;8;final;218.361;0.060;292.105;0.046;final;308.4304;0.0158;1.1144;0.0132;final;-109.435;0.138;-11.289;0.036;0.254;0.055;0.074;0.036
58035;2017;10;9;final;216.190;0.060;290.860;0.046;final;307.4043;0.0176;0.9523;0.0132;final;-109.627;0.136;-11.518;0.036;0.235;0.054;0.072;0.036
58036;2017;10;10;final;214.075;0.060;289.134;0.046;final;306.4975;0.0176;0.8137;0.0132;final;-109.804;0.136;-11.554;0.036;0.216;0.054;0.070;0.036
58037;2017;10;11;final;212.230;0.060;287.377;0.046;final;305.6993;0.0155;0.7520;0.0132;final;-109.936;0.133;-11.426;0.035;0.197;0.053;0.067;0.035
58038;2017;10;12;final;210.250;0.060;285.371;0.046;final;304.9509;0.0156;0.7432;0.0133;final;-109.951;0.136;-11.273;0.036;0.199;0.054;0.078;0.036
58039;2017;10;13;final;208.688;0.060;283.429;0.046;final;304.1866;0.0153;0.8181;0.0133;final;-109.838;0.138;-11.200;0.037;0.207;0.055;0.092;0.037
58040;2017;10;14;final;207.152;0.059;281.526;0.046;final;303.3413;0.0138;0.9286;0.0133;final;-109.586;0.118;-11.195;0.038;0.206;0.047;0.095;0.038
58041;2017;10;15;final;205.699;0.059;279.734;0.046;final;302.3539;0.0197;1.0431;0.0134;final;-109.222;0.118;-11.181;0.037;0.198;0.047;0.094;0.037
58042;2017;10;16;final;204.789;0.059;278.139;0.046;final;301.2148;0.0194;1.2003;0.0134;final;-108.866;0.121;-11.129;0.038;0.192;0.048;0.093;0.038
58043;2017;10;17;final;203.852;0.060;276.870;0.047;final;299.9437;0.0191;1.3201;0.0135;final;-108.676;0.121;-11.055;0.038;0.186;0.048;0.093;0.038
