MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58120;2018;1;2;final;57.406;0.076;248.566;0.046;final;215.6106;0.0392;0.7355;0.0140;final;-105.198;0.525;-8.190;0.233;0.098;0.209;-0.030;0.233
58121;2018;1;3;final;55.667;0.076;249.547;0.045;final;214.8671;0.0460;0.7464;0.0131;final;-104.797;0.435;-8.062;0.195;0.102;0.173;-0.035;0.195
58122;2018;1;4;final;54.388;0.077;250.409;0.045;final;214.0584;0.0371;0.8484;0.0131;final;-103.894;0.380;-7.933;0.173;0.206;0.151;-0.069;0.173
58123;2018;1;5;final;53.497;0.075;251.568;0.045;final;213.1828;0.0240;0.8848;0.0130;final;-102.973;0.332;-7.979;0.155;0.335;0.132;-0.111;0.155
58124;2018;1;6;final;52.593;0.076;252.938;0.045;final;212.2901;0.0231;0.8868;0.0141;final;-102.591;0.354;-8.074;0.173;0.360;0.141;-0.121;0.173
58125;2018;1;7;final;50.970;0.080;254.226;0.046;final;211.4238;0.0267;0.8519;0.0141;final;-102.661;0.405;-8.030;0.204;0.347;0.161;-0.119;0.204
58126;2018;1;8;final;49.223;0.080;255.002;0.046;final;210.6239;0.0400;0.7565;0.0141;final;-102.926;0.455;-7.855;0.235;0.333;0.181;-0.117;0.235
58127;2018;1;9;final;47.987;0.080;255.808;0.046;final;209.9278;0.0581;0.6126;0.0142;final;-103.125;0.505;-7.737;0.266;0.319;0.201;-0.114;0.266
58128;2018;1;10;final;46.686;0.076;257.130;0.045;final;209.3798;0.0576;0.5072;0.0131;final;-103.358;0.445;-7.795;0.231;0.249;0.177;-0.116;0.231
58129;2018;1;11;final;45.008;0.077;258.580;0.046;final;208.9311;0.0479;0.4246;0.0131;final;-103.699;0.357;-7.942;0.179;0.165;0.142;-0.118;0.179
58130;2018;1;12;final;43.355;0.034;259.855;0.028;final;208.5176;0.0252;0.3018;0.0074;final;-104.179;0.302;-8.050;0.132;0.081;0.120;-0.121;0.132
58131;2018;1;13;final;41.402;0.046;260.606;0.030;final;208.2845;0.0191;0.1676;0.0080;final;-104.437;0.274;-8.108;0.120;0.067;0.109;-0.127;0.120
58132;2018;1;14;final;39.860;0.035;260.774;0.031;final;208.1715;0.0192;0.0794;0.0066;final;-104.385;0.274;-8.189;0.124;0.079;0.109;-0.135;0.124
58133;2018;1;15;final;38.639;0.035;261.182;0.025;final;208.1143;0.0245;0.0335;0.0062;final;-104.105;0.274;-8.311;0.127;0.091;0.109;-0.142;0.127
58134;2018;1;16;final;37.810;0.035;261.913;0.022;final;208.0778;0.0324;0.0282;0.0067;final;-103.764;0.274;-8.404;0.130;0.103;0.109;-0.150;0.130
58135;2018;1;17;final;37.169;0.034;263.221;0.023;final;208.0112;0.0327;0.0780;0.0075;final;-103.452;0.292;-8.395;0.135;0.129;0.116;-0.143;0.135
58136;2018;1;18;final;36.146;0.033;264.989;0.024;final;207.8806;0.0310;0.1477;0.0079;final;-103.225;0.314;-8.337;0.139;0.158;0.125;-0.132;0.139
58137;2018;1;19;final;34.752;0.033;266.831;0.021;final;207.6571;0.0293;0.2862;0.0078;final;-103.095;0.337;-8.313;0.144;0.188;0.134;-0.122;0.144
58138;2018;1;20;final;32.747;0.039;268.633;0.022;final;207.3152;0.0229;0.4294;0.0073;final;-103.114;0.314;-8.342;0.134;0.201;0.125;-0.119;0.134
58139;2018;1;21;final;30.561;0.084;270.346;0.046;final;206.8073;0.0279;0.5816;0.0151;final;-103.217;0.271;-8.369;0.118;0.208;0.108;-0.118;0.118
58140;2018;1;22;final;28.673;0.084;272.074;0.046;final;206.1308;0.0261;0.7365;0.0142;final;-103.323;0.231;-8.374;0.103;0.215;0.092;-0.118;0.103
58141;2018;1;23;final;27.382;0.075;273.710;0.045;final;205.3131;0.0177;0.8646;0.0138;final;-103.408;0.191;-8.402;0.087;0.221;0.076;-0.118;0.087
58142;2018;1;24;final;26.020;0.068;275.534;0.043;final;204.4217;0.0215;0.9242;0.0139;final;-103.510;0.244;-8.501;0.115;0.208;0.097;-0.143;0.115
58143;2018;1;25;final;24.135;0.070;277.385;0.044;final;203.4601;0.0263;0.9919;0.0136;final;-103.569;0.324;-8.579;0.155;0.190;0.129;-0.174;0.155
58144;2018;1;26;final;22.368;0.073;279.089;0.044;final;202.4315;0.0223;1.0033;0.0138;final;-103.637;0.402;-8.541;0.195;0.172;0.160;-0.205;0.195
58145;2018;1;27;final;20.854;0.079;280.617;0.045;final;201.4806;0.0229;0.9575;0.0147;final;-103.849;0.397;-8.431;0.193;0.183;0.158;-0.215;0.193
58146;2018;1;28;final;19.329;0.083;281.817;0.046;final;200.5803;0.0229;0.8819;0.0153;final;-104.367;0.359;-8.435;0.176;0.205;0.143;-0.217;0.176
58147;2018;1;29;final;18.285;0.079;282.882;0.046;final;199.6906;0.0247;0.8948;0.0149;final;-104.971;0.322;-8.610;0.159;0.227;0.128;-0.220;0.159
58148;2018;1;30;final;17.687;0.074;284.477;0.045;final;198.7597;0.0279;0.9819;0.0139;final;-105.208;0.284;-8.781;0.142;0.249;0.113;-0.222;0.142
58149;2018;1;31;final;16.673;0.075;286.200;0.045;final;197.7182;0.0336;1.1142;0.0137;final;-104.977;0.297;-8.811;0.143;0.223;0.118;-0.233;0.143
58150;2018;2;1;final;15.361;0.078;288.259;0.045;final;196.5014;0.0367;1.2977;0.0146;final;-104.358;0.324;-8.786;0.148;0.184;0.129;-0.247;0.148
58151;2018;2;2;prediction;14.075;0.077;290.191;0.045;prediction;195.0891;0.0275;;;prediction;;;;;0.145;0.139;-0.261;0.154
58152;2018;2;3;prediction;12.449;0.080;291.708;0.046;prediction;193.5058;0.0281;;;prediction;;;;;0.129;0.134;-0.265;0.149
