MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58240;2018;5;2;final;69.520;0.059;438.837;0.039;final;100.6154;0.0176;0.9498;0.0117;final;-102.490;0.224;-11.826;0.100;-0.058;0.089;-0.050;0.100
58241;2018;5;3;final;70.349;0.058;439.382;0.038;final;99.7192;0.0180;0.8206;0.0124;final;-102.671;0.229;-11.917;0.101;-0.050;0.091;-0.085;0.101
58242;2018;5;4;final;71.442;0.055;439.846;0.038;final;98.9347;0.0155;0.7079;0.0117;final;-102.819;0.236;-12.079;0.102;-0.042;0.094;-0.120;0.102
58243;2018;5;5;final;72.190;0.055;440.340;0.038;final;98.2142;0.0131;0.6546;0.0117;final;-102.833;0.226;-12.233;0.097;-0.035;0.090;-0.132;0.097
58244;2018;5;6;final;73.183;0.054;441.116;0.039;final;97.5500;0.0111;0.6706;0.0117;final;-102.697;0.206;-12.348;0.089;-0.028;0.082;-0.135;0.089
58245;2018;5;7;final;74.056;0.053;441.974;0.039;final;96.9273;0.0083;0.6702;0.0110;final;-102.428;0.189;-12.413;0.081;-0.021;0.075;-0.138;0.081
58246;2018;5;8;final;75.289;0.052;442.794;0.038;final;96.3055;0.0175;0.7266;0.0114;final;-102.055;0.171;-12.426;0.073;-0.014;0.068;-0.141;0.073
58247;2018;5;9;final;76.503;0.052;443.814;0.037;final;95.5260;0.0099;0.8166;0.0117;final;-101.709;0.153;-12.396;0.065;-0.007;0.061;-0.144;0.065
58248;2018;5;10;final;77.859;0.054;444.662;0.038;final;94.5836;0.0128;0.9443;0.0111;final;-101.627;0.136;-12.338;0.057;0.000;0.054;-0.147;0.057
58249;2018;5;11;final;78.921;0.048;445.387;0.037;final;93.6326;0.0086;0.9918;0.0106;final;-101.919;0.118;-12.255;0.049;0.007;0.047;-0.150;0.049
58250;2018;5;12;final;80.633;0.052;445.320;0.037;final;92.6272;0.0094;1.0798;0.0117;final;-102.414;0.118;-12.137;0.049;0.001;0.047;-0.153;0.049
58251;2018;5;13;final;83.066;0.058;445.202;0.039;final;91.5118;0.0125;1.1393;0.0125;final;-102.753;0.126;-11.996;0.053;-0.011;0.050;-0.155;0.053
58252;2018;5;14;final;85.130;0.059;445.100;0.039;final;90.5326;0.0208;1.0683;0.0127;final;-102.842;0.133;-11.921;0.056;-0.023;0.053;-0.158;0.056
58253;2018;5;15;final;87.493;0.058;445.214;0.039;final;89.3998;0.0141;0.9538;0.0120;final;-102.926;0.141;-12.027;0.060;-0.035;0.056;-0.161;0.060
58254;2018;5;16;final;89.595;0.056;445.498;0.039;final;88.5938;0.0114;0.7773;0.0118;final;-103.213;0.148;-12.311;0.063;-0.046;0.059;-0.163;0.063
58255;2018;5;17;final;91.800;0.056;445.717;0.039;final;87.7958;0.0144;0.6490;0.0124;final;-103.599;0.158;-12.592;0.067;-0.058;0.063;-0.166;0.067
58256;2018;5;18;final;93.988;0.054;446.225;0.038;final;87.1501;0.0124;0.5571;0.0124;final;-103.828;0.166;-12.650;0.070;-0.070;0.066;-0.168;0.070
58257;2018;5;19;final;95.672;0.053;446.942;0.038;final;86.5790;0.0246;0.5359;0.0124;final;-103.800;0.171;-12.453;0.073;-0.076;0.068;-0.162;0.073
58258;2018;5;20;final;96.977;0.053;447.467;0.038;final;86.0583;0.0171;0.6025;0.0121;final;-103.654;0.178;-12.185;0.076;-0.081;0.071;-0.153;0.076
58259;2018;5;21;final;98.121;0.053;447.749;0.038;final;85.4478;0.0238;0.7001;0.0119;final;-103.518;0.184;-12.033;0.078;-0.086;0.073;-0.144;0.078
58260;2018;5;22;final;99.178;0.053;447.686;0.037;final;84.6102;0.0338;0.8201;0.0116;final;-103.385;0.191;-12.029;0.081;-0.091;0.076;-0.134;0.081
58261;2018;5;23;final;100.747;0.052;447.750;0.038;final;83.6772;0.0178;0.9697;0.0112;final;-103.204;0.196;-12.101;0.083;-0.095;0.078;-0.125;0.083
58262;2018;5;24;final;102.548;0.051;447.827;0.037;final;82.6398;0.0186;1.0442;0.0112;final;-103.036;0.204;-12.174;0.086;-0.100;0.081;-0.116;0.086
58263;2018;5;25;final;104.514;0.048;447.972;0.036;final;81.6036;0.0172;1.0393;0.0113;final;-103.038;0.209;-12.199;0.089;-0.105;0.083;-0.107;0.089
58264;2018;5;26;final;105.963;0.051;447.994;0.038;final;80.6403;0.0155;0.9715;0.0119;final;-103.291;0.201;-12.147;0.085;-0.107;0.080;-0.103;0.085
58265;2018;5;27;final;107.448;0.056;447.738;0.039;final;79.7179;0.0133;0.8876;0.0116;final;-103.685;0.186;-12.015;0.080;-0.107;0.074;-0.101;0.080
58266;2018;5;28;final;109.050;0.058;447.462;0.039;final;78.9801;0.0198;0.7686;0.0116;final;-104.024;0.171;-11.867;0.074;-0.108;0.068;-0.098;0.074
58267;2018;5;29;final;110.654;0.058;447.233;0.039;final;78.3693;0.0240;0.5957;0.0121;final;-104.213;0.156;-11.807;0.068;-0.109;0.062;-0.096;0.068
58268;2018;5;30;final;112.145;0.026;447.210;0.024;final;77.7297;0.0125;0.4489;0.0070;final;-104.714;0.063;-11.971;0.041;-0.273;0.025;-0.185;0.041
58269;2018;5;31;final;113.238;0.027;447.171;0.024;final;77.3184;0.0179;0.3526;0.0072;final;-104.803;0.058;-12.065;0.044;-0.286;0.023;-0.132;0.044
58270;2018;6;1;final;114.210;0.029;446.949;0.023;final;76.9437;0.0062;0.3037;0.0074;final;-104.876;0.055;-12.182;0.043;-0.299;0.022;-0.127;0.043
58271;2018;6;2;prediction;116.000;0.029;446.795;0.023;prediction;76.6933;0.0190;;;prediction;;;;;-0.288;0.022;-0.125;0.044
58272;2018;6;3;prediction;117.672;0.031;446.819;0.022;prediction;76.3388;0.0154;;;prediction;;;;;-0.267;0.024;-0.124;0.046
58273;2018;6;4;prediction;118.894;0.033;446.918;0.022;prediction;75.9905;0.0154;;;prediction;;;;;-0.246;0.025;-0.123;0.048
58274;2018;6;5;prediction;120.342;0.034;446.950;0.023;prediction;75.6038;0.0196;;;prediction;;;;;-0.225;0.027;-0.122;0.049
58275;2018;6;6;prediction;121.745;0.036;447.225;0.022;prediction;75.1603;0.0167;;;prediction;;;;;-0.204;0.028;-0.121;0.051
58276;2018;6;7;prediction;122.649;0.024;447.320;0.022;prediction;74.4752;0.0155;;;prediction;;;;;-0.183;0.030;-0.119;0.053
